"State","Year","Population.12-17","Population.12-20","Population.18-25","Population.26+","Rates.Pain Relievers Abuse Past Year.12-17","Rates.Pain Relievers Abuse Past Year.18-25","Rates.Pain Relievers Abuse Past Year.26+","Totals.Pain Relievers Abuse Past Year.12-17","Totals.Pain Relievers Abuse Past Year.18-25","Totals.Pain Relievers Abuse Past Year.26+","Rates.Alcohol.Abuse Past Year.12-17","Rates.Alcohol.Abuse Past Year.18-25","Rates.Alcohol.Abuse Past Year.26+","Rates.Alcohol.Binge Past Month.12-17","Rates.Alcohol.Binge Past Month.18-25","Rates.Alcohol.Binge Past Month.26+","Rates.Alcohol.Dependence Past Year.12-17","Rates.Alcohol.Dependence Past Year.18-25","Rates.Alcohol.Dependence Past Year.26+","Rates.Alcohol.In Minors.Abuse","Rates.Alcohol.In Minors.Use","Rates.Alcohol.Need Treatment Past Year.12-17","Rates.Alcohol.Need Treatment Past Year.18-25","Rates.Alcohol.Need Treatment Past Year.26+","Rates.Alcohol.Perceptions of Risk.12-17","Rates.Alcohol.Perceptions of Risk.18-25","Rates.Alcohol.Perceptions of Risk.26+","Rates.Alcohol.Use Past Month.12-17","Rates.Alcohol.Use Past Month.18-25","Rates.Alcohol.Use Past Month.26+","Rates.Illicit Drugs.Abuse Past Year.12-17","Rates.Illicit Drugs.Abuse Past Year.18-25","Rates.Illicit Drugs.Abuse Past Year.26+","Rates.Illicit Drugs.All Except Marijuana Used Past Month.12-17","Rates.Illicit Drugs.All Except Marijuana Used Past Month.18-25","Rates.Illicit Drugs.All Except Marijuana Used Past Month.26+","Rates.Illicit Drugs.Cocaine Used Past Year.12-17","Rates.Illicit Drugs.Cocaine Used Past Year.18-25","Rates.Illicit Drugs.Cocaine Used Past Year.26+","Rates.Illicit Drugs.Dependence Past Year.12-17","Rates.Illicit Drugs.Dependence Past Year.18-25","Rates.Illicit Drugs.Dependence Past Year.26+","Rates.Illicit Drugs.Need Treatment Past Year.12-17","Rates.Illicit Drugs.Need Treatment Past Year.18-25","Rates.Illicit Drugs.Need Treatment Past Year.26+","Rates.Illicit Drugs.Used Past Month.12-17","Rates.Illicit Drugs.Used Past Month.18-25","Rates.Illicit Drugs.Used Past Month.26+","Rates.Marijuana.New Users.12-17","Rates.Marijuana.New Users.18-25","Rates.Marijuana.New Users.26+","Rates.Marijuana.Perceptions of Risk.12-17","Rates.Marijuana.Perceptions of Risk.18-25","Rates.Marijuana.Perceptions of Risk.26+","Rates.Marijuana.Used Past Month.12-17","Rates.Marijuana.Used Past Month.18-25","Rates.Marijuana.Used Past Month.26+","Rates.Marijuana.Used Past Year.12-17","Rates.Marijuana.Used Past Year.18-25","Rates.Marijuana.Used Past Year.26+","Rates.Tobacco.Cigarette Past Month.12-17","Rates.Tobacco.Cigarette Past Month.18-25","Rates.Tobacco.Cigarette Past Month.26+","Rates.Tobacco.Perceptions of Risk.12-17","Rates.Tobacco.Perceptions of Risk.18-25","Rates.Tobacco.Perceptions of Risk.26+","Rates.Tobacco.Use Past Month.12-17","Rates.Tobacco.Use Past Month.18-25","Rates.Tobacco.Use Past Month.26+","Totals.Alcohol.Abuse Past Year.12-17","Totals.Alcohol.Abuse Past Year.18-25","Totals.Alcohol.Abuse Past Year.26+","Totals.Alcohol.Binge Past Month.12-17","Totals.Alcohol.Binge Past Month.18-25","Totals.Alcohol.Binge Past Month.26+","Totals.Alcohol.Dependence Past Year.12-17","Totals.Alcohol.Dependence Past Year.18-25","Totals.Alcohol.Dependence Past Year.26+","Totals.Alcohol.In Minors.Abuse","Totals.Alcohol.In Minors.Use","Totals.Alcohol.Need Treatment Past Year.12-17","Totals.Alcohol.Need Treatment Past Year.18-25","Totals.Alcohol.Need Treatment Past Year.26+","Totals.Alcohol.Perceptions of Risk.12-17","Totals.Alcohol.Perceptions of Risk.18-25","Totals.Alcohol.Perceptions of Risk.26+","Totals.Alcohol.Use Past Month.12-17","Totals.Alcohol.Use Past Month.18-25","Totals.Alcohol.Use Past Month.26+","Totals.Illicit Drugs.Abuse Past Year.12-17","Totals.Illicit Drugs.Abuse Past Year.18-25","Totals.Illicit Drugs.Abuse Past Year.26+","Totals.Illicit Drugs.All Except Marijuana Used Past Month.12-17","Totals.Illicit Drugs.All Except Marijuana Used Past Month.18-25","Totals.Illicit Drugs.All Except Marijuana Used Past Month.26+","Totals.Illicit Drugs.Cocaine Used Past Year.12-17","Totals.Illicit Drugs.Cocaine Used Past Year.18-25","Totals.Illicit Drugs.Cocaine Used Past Year.26+","Totals.Illicit Drugs.Dependence Past Year.12-17","Totals.Illicit Drugs.Dependence Past Year.18-25","Totals.Illicit Drugs.Dependence Past Year.26+","Totals.Illicit Drugs.Need Treatment Past Year.12-17","Totals.Illicit Drugs.Need Treatment Past Year.18-25","Totals.Illicit Drugs.Need Treatment Past Year.26+","Totals.Illicit Drugs.Used Past Month.12-17","Totals.Illicit Drugs.Used Past Month.18-25","Totals.Illicit Drugs.Used Past Month.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Totals.Marijuana.Perceptions of Risk.12-17","Totals.Marijuana.Perceptions of Risk.18-25","Totals.Marijuana.Perceptions of Risk.26+","Totals.Marijuana.Used Past Month.12-17","Totals.Marijuana.Used Past Month.18-25","Totals.Marijuana.Used Past Month.26+","Totals.Marijuana.Used Past Year.12-17","Totals.Marijuana.Used Past Year.18-25","Totals.Marijuana.Used Past Year.26+","Totals.Tobacco.Cigarette Past Month.12-17","Totals.Tobacco.Cigarette Past Month.18-25","Totals.Tobacco.Cigarette Past Month.26+","Totals.Tobacco.Perceptions of Risk.12-17","Totals.Tobacco.Perceptions of Risk.18-25","Totals.Tobacco.Perceptions of Risk.26+","Totals.Tobacco.Use Past Month.12-17","Totals.Tobacco.Use Past Month.18-25","Totals.Tobacco.Use Past Month.26+"
"Alabama","2014","383539","581887","543988","3119427","5.48","10.85","3.78","2100","5900","11800","2.87","10.48","5.26","6.0","32.72","21.48","1.04","4.6","2.95","12.55","18.73","2.61","10.48","5.03","42.5","35.48","44.98","10.43","50.55","47.7","2.87","5.88","2.02","3.65","7.72","2.89","0.52","3.13","0.99","1.56","4.41","1.51","2.87","5.7","1.76","7.82","18.02","6.32","4.43","3.31","0.1","31.03","20.22","39.3","4.95","14.89","4.04","9.91","26.65","7.08","5.74","33.82","26.9","62.58","61.4","68.63","8.34","42.65","32.41","1100","5700","16400","2300","17800","67000","400","2500","9200","7300","10900","1000","5700","15700","16300","19300","140300","4000","27500","148800","1100","3200","6300","1400","4200","9000","200","1700","3099","600","2400","4700","1100","3100","5500","3000","9800","19700","1699","1799","300","11900","10999","122600","1899","8100","12600","3799","14500","22100","2200","18400","83900","24000","33400","214100","3200","23200","101100"
"Alaska","2014","59382","88028","87646","430870","5.05","9.13","3.48","299","800","1500","1.68","12.55","6.27","5.05","36.51","22.51","0.0","5.7","3.02","13.63","22.72","1.68","12.55","5.8","35.36","27.38","41.78","10.1","57.05","59.65","3.37","7.99","2.09","3.37","6.85","2.79","0.0","3.42","1.16","1.68","5.7","1.39","3.37","7.99","1.86","10.1","22.82","11.6","5.05","3.42","0.23","16.84","10.27","20.19","10.1","20.54","10.44","16.84","34.23","16.94","6.74","31.95","22.05","58.94","58.19","70.09","10.1","38.79","29.94","100","1099","2700","299","3200","9700","0","499","1300","1200","2000","100","1099","2500","2100","2400","18000","599","5000","25700","200","700","900","200","600","1200","0","300","500","100","499","600","200","700","800","599","1999","5000","299","300","100","1000","900","8700","599","1800","4500","1000","3000","7300","400","2800","9500","3500","5100","30200","599","3400","12900"
"Arizona","2014","548227","824776","760569","4238637","5.11","8.15","3.99","2800","6200","16900","3.28","12.62","7.17","6.38","35.63","23.03","1.09","5.52","3.33","12.85","21.58","3.1","11.96","6.49","38.12","30.63","42.16","11.86","55.88","55.61","4.38","7.23","2.29","3.65","6.71","3.56","0.91","6.05","1.7","2.01","4.47","1.37","4.01","6.71","1.96","10.4","22.61","9.08","5.29","3.68","0.12","20.06","13.02","28.66","8.21","19.33","6.87","14.96","30.37","10.36","4.92","26.69","18.87","60.19","64.82","71.63","6.75","31.56","22.18","1800","9600","30399","3500","27100","97600","600","4200","14099","10599","17799","1700","9100","27500","20900","23300","178699","6500","42500","235700","2400","5500","9700","2000","5100","15100","500","4600","7200","1100","3400","5799","2200","5100","8300","5700","17200","38499","2900","2800","500","11000","9900","121500","4500","14699","29100","8200","23100","43900","2700","20300","80000","33000","49300","303600","3700","24000","94000"
"Arkansas","2014","237739","357677","326239","1888773","6.31","9.5","3.49","1500","3100","6600","2.52","10.12","4.71","5.89","35.86","19.85","0.84","4.9","2.54","11.74","17.33","2.52","10.12","4.61","37.86","32.49","40.24","9.67","53.95","44.26","3.37","5.82","1.64","4.21","6.13","3.18","0.42","2.45","0.74","2.1","4.29","1.22","3.37","5.82","1.43","9.25","18.39","7.04","5.05","3.37","0.11","27.76","17.17","35.58","6.31","15.94","5.14","12.62","26.05","8.58","7.15","33.41","30.18","59.73","61.61","66.18","10.94","42.61","37.22","600","3300","8900","1400","11700","37500","200","1600","4800","4200","6200","600","3300","8700","9000","10600","76000","2299","17600","83600","800","1900","3100","1000","2000","6000","100","800","1400","500","1400","2300","800","1900","2700","2200","5999","13300","1200","1100","200","6599","5600","67200","1500","5200","9700","3000","8500","16200","1700","10900","56999","14200","20100","125000","2600","13900","70300"
"California","2014","3116068","4716130","4577657","24386075","4.81","7.84","3.56","15000","35899","86800","2.73","12.71","5.99","6.32","35.76","21.9","1.03","6.53","3.0","14.89","24.26","2.7","12.43","5.65","39.41","35.56","46.5","11.87","56.3","54.36","4.01","7.34","1.7","3.75","6.71","3.6","0.9","5.96","1.57","1.99","5.44","1.3","3.82","6.62","1.51","10.27","23.13","9.4","5.3","4.26","0.16","19.83","14.02","30.39","8.63","20.56","7.11","14.86","32.9","10.92","3.63","23.44","15.16","65.92","69.53","78.27","4.94","26.98","18.42","8500","58199","146000","19700","163700","534000","3200","29900","73100","70200","114400","8400","56900","137700","122800","162800","1133900","37000","257699","1325700","12500","33600","41500","11700","30700","87800","2800","27300","38200","6200","24900","31600","11900","30300","36900","32000","105900","229200","16499","19500","3800","61800","64200","741000","26900","94099","173300","46300","150600","266400","11300","107300","369600","205400","318300","1908700","15400","123499","449300"
"Colorado","2014","413168","625453","598953","3404374","5.57","9.02","4.11","2300","5400","14000","3.39","13.52","6.87","6.78","39.9","25.09","1.21","5.34","3.05","15.67","26.7","3.15","12.69","6.32","34.61","25.04","38.39","14.04","64.78","66.12","4.36","7.51","1.88","3.39","7.51","3.67","0.97","7.01","1.97","2.18","5.18","1.29","4.11","7.01","1.59","14.52","32.56","14.19","6.78","3.67","0.15","16.94","8.01","19.74","12.34","30.05","12.43","20.57","42.24","16.77","6.05","31.22","19.24","62.93","64.11","74.76","8.96","39.24","25.14","1400","8100","23400","2800","23900","85400","500","3200","10400","9800","16700","1300","7600","21500","14299","15000","130699","5800","38800","225100","1800","4500","6399","1400","4500","12500","400","4200","6700","900","3099","4400","1700","4200","5400","6000","19500","48300","2800","2200","500","7000","4800","67200","5100","18000","42300","8500","25300","57100","2499","18700","65500","26000","38400","254500","3699","23500","85600"
"Connecticut","2014","293039","453834","379700","2380078","4.1","8.69","2.94","1200","3300","7000","2.73","14.22","6.05","6.14","42.4","22.65","1.02","6.06","2.69","15.42","24.9","2.73","13.7","5.84","38.56","30.81","42.23","12.63","65.84","64.75","3.07","9.22","1.85","2.73","6.32","2.65","0.68","6.58","1.64","1.71","7.37","1.43","3.07","7.64","1.55","9.21","24.49","7.65","6.48","4.48","0.13","21.16","11.85","28.07","7.85","22.65","6.34","15.36","38.98","9.83","4.44","29.76","16.43","66.2","70.06","76.76","6.83","35.82","20.59","800","5400","14400","1799","16100","53900","300","2300","6399","7000","11300","800","5200","13900","11300","11700","100500","3699","25000","154100","899","3500","4400","800","2400","6300","200","2500","3899","499","2800","3400","899","2899","3700","2699","9300","18200","1899","1700","300","6200","4500","66800","2300","8600","15099","4500","14799","23400","1300","11300","39100","19400","26600","182700","1999","13600","49000"
"Delaware","2014","70001","107460","103430","612395","4.29","9.67","3.43","300","1000","2100","2.86","13.54","5.23","5.71","39.64","21.88","1.43","4.83","2.61","13.96","22.33","2.86","13.54","4.9","38.57","31.91","40.01","10.0","61.88","60.42","2.86","9.67","2.45","2.86","8.7","2.94","0.0","4.83","1.47","1.43","7.73","1.96","2.86","7.73","1.8","10.0","25.14","8.16","5.71","3.87","0.16","22.86","11.6","29.23","8.57","20.3","6.04","14.29","37.71","9.8","5.71","33.84","23.84","62.86","68.65","73.32","8.57","39.64","28.58","200","1400","3200","400","4099","13400","100","500","1600","1500","2400","200","1400","3000","2700","3300","24500","700","6400","37000","200","1000","1500","200","900","1800","0","500","900","100","800","1200","200","800","1100","700","2600","5000","400","400","100","1600","1200","17900","600","2100","3700","1000","3900","6000","400","3500","14600","4400","7100","44900","600","4099","17500"
"District of Columbia","2014","34895","69914","100358","431607","2.87","6.98","3.48","100","700","1500","2.87","13.95","9.27","5.73","45.84","33.13","0.0","5.98","4.17","12.87","21.45","2.87","13.95","8.8","40.12","30.89","42.17","11.46","67.76","71.59","2.87","6.98","2.55","2.87","4.98","4.87","0.0","4.98","3.24","2.87","4.98","2.32","2.87","6.98","2.32","11.46","23.91","13.21","5.73","3.99","0.23","14.33","7.97","20.16","8.6","22.92","10.19","17.19","37.86","17.84","2.87","25.91","23.17","51.58","67.76","77.85","5.73","30.89","27.57","100","1400","4000","200","4600","14300","0","600","1799","900","1500","100","1400","3800","1400","3100","18200","400","6800","30900","100","700","1100","100","500","2100","0","500","1400","100","500","1000","100","700","1000","400","2400","5700","200","400","100","500","800","8700","300","2300","4400","600","3800","7700","100","2600","10000","1800","6800","33600","200","3100","11900"
"Florida","2014","1410558","2121318","2053258","13492794","4.32","7.01","2.69","6100","14399","36300","2.76","10.42","5.6","5.53","32.39","20.48","0.92","4.38","2.68","11.6","21.68","2.69","10.52","5.36","40.83","35.85","44.57","12.05","56.25","56.27","4.11","6.62","1.6","2.91","7.35","2.42","0.71","5.36","1.56","2.27","5.02","1.16","3.97","6.09","1.4","9.0","22.4","7.14","5.18","3.7","0.12","25.03","15.05","33.91","7.37","19.58","5.66","13.9","32.44","8.36","4.32","26.01","21.26","70.61","68.18","74.78","6.52","31.8","24.59","3900","21400","75500","7800","66500","276300","1300","9000","36100","24599","45999","3800","21600","72300","57600","73600","601400","17000","115500","759199","5800","13600","21600","4099","15100","32700","1000","11000","21100","3200","10300","15600","5600","12500","18900","12700","46000","96400","7300","7600","1600","35300","30900","457500","10400","40200","76400","19599","66599","112800","6100","53400","286900","99600","140000","1009000","9200","65300","331800"
