County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Apache County,100.00,0.00,100.00,71.43,0.00,6.40,0.00,0.90,50.00,19.00
Cochise County,100.00,0.00,100.00,33.33,100.00,34.60,0.00,4.70,0.00,56.10
Coconino County,81.82,25.00,50.00,63.64,9.09,13.90,0.00,1.60,63.64,54.90
Gila County,100.00,0.00,100.00,0.00,0.00,18.80,0.00,0.90,100.00,63.20
Graham County,100.00,0.00,100.00,100.00,0.00,32.10,0.00,2.10,100.00,51.40
Greenlee County,100.00,0.00,100.00,100.00,0.00,46.60,0.00,1.80,100.00,47.80
La Paz County,80.00,20.00,100.00,60.00,50.00,25.70,0.00,1.20,25.00,59.30
Maricopa County,93.04,15.03,84.97,63.92,41.56,30.30,12.34,5.70,42.86,57.00
Mohave County,100.00,7.69,76.92,75.00,18.18,15.80,0.00,1.30,81.82,78.00
Navajo County,100.00,0.00,75.00,75.00,0.00,11.10,0.00,1.30,50.00,42.20
Pima County,89.19,17.50,92.50,62.16,54.84,36.10,6.45,4.10,38.71,53.30
Pinal County,88.89,20.00,100.00,44.44,22.22,29.20,11.11,4.90,66.67,57.90
Santa Cruz County,100.00,0.00,100.00,0.00,100.00,82.80,0.00,0.90,0.00,15.60
Unknown County,75.00,25.00,75.00,50.00,75.00,82.80,0.00,0.90,25.00,15.60
Yavapai County,88.89,11.11,66.67,77.78,0.00,14.20,0.00,0.90,100.00,80.90
Yuma County,100.00,0.00,100.00,20.00,66.67,61.70,0.00,2.70,33.33,32.90
