County,State,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,PercentageShootingsOnBlack,PercentageDemogIsBlack
Acadia Parish County,LA,100.00,0.00,100.00,100.00,100.00,18.30
Ada County,ID,100.00,7.69,69.23,75.00,0.00,1.30
Adair County,OK,50.00,50.00,100.00,0.00,0.00,0.50
Adams County,CO,94.59,14.63,90.24,75.68,20.00,3.70
Adams County,ID,100.00,0.00,0.00,100.00,0.00,0.20
Adams County,IL,100.00,0.00,100.00,100.00,0.00,3.70
Adams County,OH,100.00,0.00,100.00,100.00,0.00,0.60
Adams County,PA,100.00,0.00,100.00,0.00,0.00,1.90
Adams County,WA,100.00,0.00,100.00,0.00,0.00,1.40
Aiken County,SC,100.00,0.00,100.00,80.00,20.00,25.10
Aitkin County,MN,100.00,0.00,100.00,100.00,0.00,0.40
Alachua County,FL,100.00,0.00,100.00,75.00,66.67,20.50
Alamance County,NC,66.67,33.33,100.00,0.00,33.33,19.50
Alameda County,CA,90.91,16.67,75.00,51.52,40.00,12.10
Alamosa County,CO,100.00,0.00,100.00,50.00,0.00,1.90
Albany County,NY,100.00,0.00,100.00,0.00,0.00,13.70
Albany County,WY,50.00,50.00,100.00,0.00,0.00,1.80
Alexandria County,VA,100.00,0.00,100.00,100.00,0.00,22.60
Allegany County,MD,100.00,0.00,100.00,100.00,0.00,8.20
Alleghany County,NC,100.00,0.00,0.00,0.00,0.00,1.90
Allegheny County,PA,90.00,10.00,100.00,70.00,100.00,13.40
Allen County,IN,100.00,0.00,100.00,50.00,0.00,12.10
Allen County,KY,100.00,0.00,100.00,100.00,0.00,1.10
Allen County,OH,100.00,0.00,100.00,100.00,0.00,12.40
Anderson County,KY,100.00,0.00,100.00,100.00,0.00,2.20
Anderson County,SC,83.33,28.57,85.71,66.67,0.00,16.60
Anderson County,TN,100.00,0.00,100.00,50.00,25.00,4.20
Anderson County,TX,100.00,0.00,50.00,0.00,0.00,21.70
Androscoggin County,ME,100.00,0.00,100.00,66.67,0.00,3.80
Angelina County,TX,100.00,0.00,0.00,0.00,100.00,15.70
Anne Arundel County,MD,100.00,0.00,100.00,60.00,20.00,16.60
Anoka County,MN,100.00,25.00,50.00,66.67,25.00,5.40
Anson County,NC,100.00,25.00,100.00,100.00,0.00,48.60
Apache County,AZ,100.00,0.00,100.00,71.43,0.00,0.90
Arapahoe County,CO,100.00,0.00,90.00,90.00,11.11,10.90
Arlington County,VA,0.00,100.00,100.00,0.00,0.00,9.10
Aroostook County,ME,100.00,0.00,100.00,0.00,0.00,0.80
Ashe County,NC,100.00,50.00,50.00,100.00,0.00,1.00
Ashland County,WI,100.00,0.00,100.00,50.00,0.00,0.50
Ashtabula County,OH,0.00,100.00,100.00,0.00,0.00,3.80
Atascosa County,TX,100.00,0.00,100.00,33.33,0.00,1.40
Athens County,OH,100.00,0.00,100.00,100.00,0.00,2.70
Atkinson County,GA,100.00,0.00,100.00,100.00,0.00,17.90
Atlantic County,NJ,100.00,20.00,60.00,25.00,80.00,17.30
Aurora County,SD,100.00,0.00,100.00,100.00,0.00,0.50
Austin County,TX,100.00,0.00,0.00,100.00,0.00,9.60
Avoyelles Parish County,LA,50.00,50.00,50.00,50.00,0.00,29.50
Baca County,CO,100.00,0.00,100.00,100.00,0.00,1.10
Baker County,FL,100.00,0.00,100.00,100.00,0.00,13.50
Baldwin County,AL,75.00,25.00,100.00,75.00,25.00,9.60
Baltimore County,MD,91.67,13.16,52.63,66.67,81.08,42.96
Bannock County,ID,100.00,0.00,66.67,66.67,0.00,0.90
Barber County,KS,100.00,0.00,100.00,100.00,0.00,0.60
Barbour County,AL,100.00,0.00,0.00,100.00,100.00,47.60
Barren County,KY,100.00,0.00,100.00,100.00,100.00,4.20
Barrow County,GA,100.00,0.00,100.00,100.00,0.00,11.70
Barry County,MO,0.00,100.00,100.00,0.00,0.00,0.50
Barton County,MO,100.00,0.00,100.00,100.00,0.00,0.80
Bartow County,GA,66.67,33.33,100.00,66.67,0.00,10.90
Bates County,MO,100.00,0.00,100.00,100.00,100.00,1.10
Bath County,KY,100.00,50.00,100.00,0.00,0.00,1.50
Bay County,FL,100.00,0.00,100.00,85.71,42.86,11.30
Bay County,MI,100.00,0.00,100.00,100.00,0.00,1.70
Beaufort County,NC,100.00,0.00,0.00,100.00,100.00,25.30
Beaufort County,SC,100.00,0.00,100.00,100.00,0.00,19.10
Beauregard Parish County,LA,100.00,0.00,100.00,0.00,50.00,13.50
Beaverhead County,MT,100.00,0.00,100.00,100.00,0.00,0.40
Bedford County,TN,100.00,0.00,100.00,100.00,0.00,8.30
Belknap County,NH,100.00,0.00,100.00,50.00,0.00,0.80
Bell County,KY,100.00,0.00,100.00,100.00,0.00,2.40
Bell County,TX,71.43,28.57,85.71,71.43,66.67,22.70
Belmont County,OH,100.00,0.00,100.00,0.00,0.00,4.20
Beltrami County,MN,100.00,0.00,0.00,100.00,0.00,0.80
Benson County,ND,100.00,0.00,100.00,100.00,0.00,0.10
Benton County,AR,100.00,0.00,100.00,50.00,25.00,1.90
Benton County,OR,100.00,0.00,0.00,0.00,0.00,1.10
Benton County,WA,100.00,0.00,100.00,60.00,20.00,1.60
Bergen County,NJ,100.00,0.00,100.00,0.00,33.33,6.80
Berkeley County,SC,100.00,0.00,100.00,100.00,0.00,25.10
Berkeley County,WV,100.00,0.00,100.00,100.00,100.00,7.50
Berks County,PA,66.67,33.33,100.00,33.33,0.00,6.70
Berkshire County,MA,100.00,0.00,100.00,0.00,0.00,3.10
Bernalillo County,NM,92.11,14.63,80.49,76.32,0.00,3.40
Berrien County,MI,100.00,0.00,50.00,100.00,50.00,15.40
Bexar County,TX,94.55,7.14,92.86,70.91,11.76,8.30
Bibb County,GA,100.00,0.00,100.00,25.00,66.67,53.80
Big Horn County,MT,100.00,0.00,100.00,0.00,0.00,0.40
Bingham County,ID,100.00,0.00,100.00,50.00,0.00,0.50
Bladen County,NC,100.00,0.00,100.00,100.00,50.00,34.60
Bleckley County,GA,100.00,0.00,100.00,100.00,0.00,26.80
Blount County,TN,100.00,0.00,100.00,100.00,0.00,3.00
Blue Earth County,MN,50.00,50.00,100.00,50.00,0.00,3.50
Bonner County,ID,100.00,0.00,100.00,100.00,0.00,0.30
Bonneville County,ID,83.33,16.67,100.00,66.67,16.67,0.70
Boone County,IA,100.00,0.00,100.00,0.00,0.00,1.20
Boone County,KY,100.00,0.00,100.00,0.00,0.00,3.20
Boone County,MO,100.00,0.00,66.67,66.67,66.67,9.60
Bossier Parish County,LA,100.00,40.00,80.00,0.00,20.00,21.70
Botetourt County,VA,100.00,0.00,100.00,100.00,0.00,3.50
Boulder County,CO,100.00,16.67,83.33,60.00,0.00,1.10
Bourbon County,KY,100.00,0.00,100.00,100.00,0.00,6.30
Bowie County,TX,100.00,0.00,100.00,100.00,0.00,24.70
Bradford County,FL,100.00,0.00,100.00,100.00,50.00,19.10
Bradley County,AR,100.00,0.00,100.00,100.00,100.00,27.60
Bradley County,TN,100.00,0.00,100.00,0.00,0.00,4.80
Braxton County,WV,100.00,0.00,100.00,50.00,0.00,0.60
Brazoria County,TX,100.00,0.00,100.00,100.00,10.00,13.50
Brazos County,TX,100.00,0.00,100.00,100.00,0.00,11.40
Brevard County,FL,100.00,21.05,94.74,73.33,35.29,10.70
Brewster County,TX,0.00,100.00,100.00,0.00,0.00,1.40
Bristol County,MA,100.00,50.00,100.00,0.00,50.00,4.70
Bristol County,VA,100.00,0.00,100.00,50.00,0.00,5.90
Bronx County,NY,100.00,0.00,75.00,25.00,75.00,43.50
Brooke County,WV,100.00,0.00,100.00,0.00,0.00,1.60
Broome County,NY,100.00,0.00,100.00,100.00,0.00,5.70
Broomfield County,CO,100.00,0.00,100.00,100.00,0.00,1.40
Broward County,FL,76.00,29.63,92.59,56.00,64.00,28.90
Brown County,WI,100.00,0.00,100.00,66.67,0.00,2.50
Brunswick County,NC,100.00,0.00,100.00,50.00,50.00,11.20
Bryan County,OK,0.00,100.00,100.00,0.00,0.00,1.90
Buchanan County,MO,66.67,33.33,100.00,66.67,0.00,6.00
Buchanan County,VA,100.00,0.00,100.00,100.00,0.00,2.80
Buckingham County,VA,0.00,100.00,100.00,0.00,100.00,34.60
Bullitt County,KY,100.00,0.00,100.00,50.00,0.00,1.10
Bulloch County,GA,100.00,0.00,100.00,100.00,0.00,29.10
Buncombe County,NC,100.00,0.00,100.00,100.00,50.00,6.50
Burke County,NC,100.00,0.00,100.00,0.00,0.00,6.80
Burleigh County,ND,50.00,50.00,100.00,50.00,0.00,1.20
Burlington County,NJ,100.00,0.00,100.00,0.00,0.00,17.50
Burnet County,TX,100.00,0.00,0.00,0.00,0.00,2.40
Butler County,KS,100.00,0.00,0.00,100.00,0.00,1.90
Butler County,MO,100.00,0.00,100.00,100.00,0.00,5.50
Butler County,OH,100.00,0.00,100.00,40.00,40.00,8.10
Butte County,CA,90.00,10.00,70.00,40.00,11.11,1.80
Butts County,GA,100.00,0.00,100.00,50.00,0.00,27.70
Cabarrus County,NC,100.00,0.00,100.00,100.00,100.00,17.10
Cabell County,WV,100.00,0.00,100.00,100.00,0.00,5.10
Cache County,UT,100.00,0.00,100.00,100.00,0.00,0.80
Caddo Parish County,LA,91.67,8.33,100.00,58.33,66.67,48.20
Caddo County,OK,100.00,0.00,100.00,50.00,0.00,3.00
Calaveras County,CA,100.00,0.00,100.00,0.00,0.00,1.00
Calcasieu Parish County,LA,100.00,0.00,100.00,66.67,66.67,25.30
Caldwell County,KY,100.00,0.00,100.00,100.00,100.00,5.50
Caldwell County,NC,100.00,0.00,57.14,100.00,16.67,5.10
Caldwell County,TX,100.00,0.00,100.00,0.00,0.00,7.00
Calhoun County,AL,100.00,12.50,87.50,85.71,14.29,21.10
Calhoun County,GA,0.00,100.00,100.00,0.00,0.00,61.20
Calhoun County,MI,100.00,0.00,100.00,50.00,0.00,11.10
Callaway County,MO,100.00,0.00,100.00,0.00,0.00,4.70
Calloway County,KY,0.00,100.00,100.00,0.00,0.00,4.10
Cambria County,PA,100.00,0.00,100.00,0.00,0.00,3.50
Camden County,GA,50.00,50.00,50.00,0.00,100.00,19.50
Camden County,NJ,100.00,0.00,100.00,75.00,33.33,21.10
Cameron County,TX,100.00,0.00,100.00,33.33,0.00,0.90
Campbell County,WY,100.00,0.00,100.00,50.00,0.00,0.90
Canadian County,OK,100.00,0.00,100.00,50.00,0.00,2.90
Canyon County,ID,100.00,0.00,85.71,57.14,0.00,0.80
Cape Girardeau County,MO,100.00,50.00,100.00,0.00,0.00,7.70
Carbon County,PA,100.00,0.00,100.00,0.00,0.00,1.90
Carbon County,UT,100.00,0.00,0.00,0.00,100.00,0.80
Carbon County,WY,0.00,100.00,100.00,0.00,0.00,1.50
Caroline County,VA,50.00,50.00,100.00,50.00,0.00,28.20
Carroll County,GA,100.00,0.00,100.00,25.00,25.00,19.10
Carroll County,MD,100.00,0.00,100.00,0.00,0.00,3.60
Carroll County,TN,100.00,0.00,100.00,100.00,0.00,10.30
Carson City County,NV,100.00,0.00,100.00,75.00,0.00,2.20
Carson County,TX,100.00,0.00,100.00,100.00,0.00,0.90
Carter County,KY,0.00,100.00,100.00,0.00,0.00,0.70
Carter County,OK,100.00,0.00,100.00,50.00,0.00,7.10
Carter County,TN,100.00,0.00,100.00,50.00,0.00,1.60
Carver County,MN,100.00,0.00,0.00,50.00,0.00,1.60
Cascade County,MT,100.00,0.00,100.00,60.00,0.00,1.70
Cass County,IN,100.00,0.00,100.00,0.00,100.00,2.00
Cass County,MN,100.00,0.00,100.00,100.00,0.00,0.40
Cass County,MO,100.00,0.00,100.00,25.00,0.00,4.00
