State,County,BlackPerc
MS,Jefferson County,85.1
MS,Claiborne County,84.1
MS,Holmes County,82.2
AL,Macon County,81.5
AL,Greene County,80.5
VA,Petersburg,77.6
MS,Tunica County,75.6
MS,Humphreys County,75
MS,Coahoma County,74.9
AL,Sumter County,73.5
MS,Sunflower County,73
AL,Lowndes County,72.9
SC,Allendale County,72.9
MS,Leflore County,72.7
GA,Hancock County,72.6
MS,Noxubee County,71.7
MS,Washington County,71.4
AL,Wilcox County,71
MS,Hinds County,70.8
MS,Wilkinson County,70.2
AL,Bullock County,70.1
MS,Sharkey County,69.6
AL,Dallas County,69.5
MS,Quitman County,69.1
GA,Dougherty County,68.4
GA,Clayton County,68.3
LA,East Carroll Parish,67.5
AL,Perry County,67.5
SC,Williamsburg County,65.1
MD,Prince George's County,64.7
MS,Bolivar County,64.7
MS,Issaquena County,63.9
VA,Emporia,63.7
SC,Lee County,63.4
SC,Orangeburg County,62.2
LA,Madison Parish,62.1
AR,Phillips County,61.6
NC,Bertie County,61.4
GA,Calhoun County,61.2
SC,Bamberg County,61.1
GA,Randolph County,60.9
MS,Kemper County,60.4
GA,Terrell County,60.3
GA,Warren County,59.9
MS,Jefferson Davis County,59.9
GA,Macon County,59.8
LA,Orleans Parish,59.8
NC,Hertford County,59.8
GA,Clay County,59.5
VA,Greensville County,59.3
SC,Fairfield County,58.8
MS,Clay County,58.6
NC,Northampton County,58.4
AL,Hale County,58.1
NC,Edgecombe County,57.7
VA,Sussex County,57.5
MS,Yazoo County,57.4
GA,Taliaferro County,56.9
AL,Montgomery County,56.7
GA,Talbot County,56.6
SC,Marion County,56.5
MS,Tallahatchie County,56.4
AR,Jefferson County,55.5
GA,Richmond County,55.5
LA,St. John the Baptist Parish,55.4
FL,Gadsden County,55.2
VA,Brunswick County,55.1
GA,DeKalb County,54.8
LA,Tensas Parish,54.8
AR,Chicot County,54.6
AR,Lee County,54.2
SC,Hampton County,53.9
GA,Bibb County,53.8
GA,Jefferson County,53.6
VA,Portsmouth,53.4
MS,Adams County,53.4
TN,Shelby County,53.3
NC,Halifax County,53.2
LA,St. Helena Parish,53
GA,Sumter County,52.8
AR,Saint Francis County,52.7
GA,Washington County,52.7
MS,Pike County,52.5
MS,Jasper County,52.4
AR,Crittenden County,51.8
GA,Stewart County,51.5
NC,Warren County,51.5
MS,Copiah County,51.4
GA,Rockdale County,51
AL,Marengo County,51
SC,Marlboro County,51
LA,Claiborne Parish,50.9
NC,Vance County,50.9
GA,Dooly County,50.5
GA,Early County,49.9
TN,Haywood County,49.9
VA,Hampton,49.8
MS,Panola County,49.7
VA,Danville,49.4
LA,St. James Parish,49.1
LA,Iberville Parish,49
DC,District of Columbia,49
VA,Richmond County,48.9266
SC,Clarendon County,48.7
NC,Washington County,48.7
NC,Anson County,48.6
SC,McCormick County,48.6
GA,Burke County,48.4
LA,Caddo Parish,48.2
MS,Warren County,48.2
GA,Mitchell County,48
LA,Morehouse Parish,47.9
AR,Desha County,47.9
AL,Barbour County,47.6
MS,Marshall County,47.6
VA,Charles City County,47.5
MO,St. Louis,47.5
GA,Quitman County,47.5
SC,Sumter County,47.1
SC,Richland County,46.9
SC,Dillon County,46.6
MS,Winston County,46.3
AL,Conecuh County,46.2
LA,East Baton Rouge Parish,46.2
GA,Muscogee County,46.1
LA,West Feliciana Parish,45.9
GA,Baker County,45.6
MS,Montgomery County,45.5
GA,Peach County,45.1
VA,Martinsville,45.1
GA,Fulton County,44.3
AL,Clarke County,44.2
SC,Barnwell County,44.1
SC,Jasper County,44.1
LA,East Feliciana Parish,44.1
PA,Philadelphia County,44.1
MS,Lowndes County,44
AL,Butler County,44
MS,Chickasaw County,43.9
MS,Walthall County,43.8
MD,Charles County,43.8
VA,Surry County,43.8
GA,Crisp County,43.6
GA,Douglas County,43.5
NY,Bronx County,43.5
GA,Jenkins County,43.2
GA,Newton County,43
MD,Baltimore County,42.9647
AL,Russell County,42.9
MS,Lauderdale County,42.9
NC,Martin County,42.9
VA,Suffolk,42.9
AL,Jefferson County,42.9
MD,Somerset County,42.8
VA,Norfolk,42.7
