State,County,NativeAmerPerc
SD,Shannon County,92.2
AK,Wade Hampton Census Area,91.7
SD,Todd County,86.2
WI,Menominee County,82.2
AK,Bethel Census Area,81.7
ND,Sioux County,81.7
AK,Northwest Arctic Borough,78.8
SD,Buffalo County,78.7
NM,McKinley County,76.8
ND,Rolette County,76.4
AK,Nome Census Area,74.5
AZ,Apache County,73.5
SD,Dewey County,72.8
SD,Ziebach County,71.2
AK,Yukon-Koyukuk Census Area,70.7
AK,Dillingham Census Area,70.4
MT,Big Horn County,64.4
SD,Corson County,64
AK,Lake and Peninsula Borough,63.4
MT,Glacier County,62.6
SD,Bennett County,58.8
MT,Roosevelt County,58
NE,Thurston County,56.4
ND,Benson County,54.4
SD,Mellette County,52.4
AK,North Slope Borough,52.1
SD,Jackson County,51.9
MT,Blaine County,49
UT,San Juan County,46.6
AZ,Navajo County,44.9
OK,Adair County,44
AK,Prince of Wales-Hyder Census Area,42.4
MN,Mahnomen County,41.7
NM,Cibola County,41.7
NC,Robeson County,39.7
AK,Hoonah-Angoon Census Area,39.5
NM,San Juan County,38.8
SD,Lyman County,38.3
SD,Roberts County,36.6
MT,Rosebud County,36.3
AK,Yakutat City and Borough,36.1
AK,Bristol Bay Borough,35.2
OK,Cherokee County,34.9
SD,Charles Mix County,32.4
NC,Swain County,27.9
AZ,Coconino County,27.3
ND,Mountrail County,27.2
OK,Caddo County,25.4
CA,Alpine County,24.7
MT,Lake County,23.6
OK,Delaware County,23.3
MT,Hill County,22.7
OK,Mayes County,21.7
OK,Sequoyah County,21.3
WY,Fremont County,21.2
OK,Latimer County,21.2
MN,Beltrami County,21
MT,Chouteau County,20.6
AK,Aleutians East Borough,20.5
OK,Okfuskee County,20.5
OK,Craig County,20.1
OK,Ottawa County,19.5
OK,Hughes County,19.3
OK,Nowata County,19.1
OK,Seminole County,19.1
OR,Jefferson County,19
OK,Muskogee County,18.7
OK,McIntosh County,18.2
OK,Pontotoc County,18.2
NM,Rio Arriba County,18.1
AZ,La Paz County,17.8
OK,Coal County,17.6
MI,Mackinac County,17.4
OK,Pushmataha County,17.4
WI,Sawyer County,17.2
