State,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
state,9154119,151,365,4,255,34
state,7115608,114,166,1,199,6
state,4053452,132,59,0,186,1
state,1624117,22,98,13,117,0
state,1247107,19,56,5,110,5
state,2493098,86,12,0,91,3
state,953130,36,10,10,114,3
state,2638920,68,2,0,94,2
state,2288136,56,8,0,102,1
state,1603462,25,24,7,80,9
state,1494491,35,4,0,106,1
state,1392081,55,3,0,78,1
state,1113314,69,2,0,46,2
state,2700695,46,9,0,54,1
state,2987857,67,16,0,33,0
state,501937,2,75,2,28,0
state,1581269,33,5,0,74,0
state,1107262,33,2,0,71,0
state,4228542,52,11,0,41,1
state,1013144,16,3,1,82,1
state,1868698,45,5,1,51,1
state,663471,17,31,1,46,3
state,1299981,23,6,4,63,2
state,858237,7,8,0,73,0
state,2224142,30,2,0,54,1
state,1085011,28,2,0,60,1
state,1350325,54,4,0,30,1
state,706577,26,0,0,54,1
state,731075,26,1,0,42,1
state,903830,7,13,2,48,1
state,2012950,34,8,0,22,1
state,1282241,13,3,5,45,3
state,380293,8,0,0,41,1
state,722484,7,9,1,38,0
state,430790,1,6,1,36,1
state,186508,3,0,9,27,2
state,1390922,8,8,0,21,0
state,225234,0,0,5,32,0
state,725949,8,0,0,29,0
state,308025,1,1,0,3,12
state,466634,6,3,1,18,0
state,259160,1,1,0,20,0
state,775381,5,7,0,11,0
state,210468,0,0,4,11,1
state,267027,0,0,0,15,0
state,204422,6,1,0,6,0
state,115306,14,0,0,2,0
state,138270,0,2,2,10,0
state,168538,0,0,7,6,0
state,121558,0,0,1,8,0
state,213032,2,1,0,1,0
