State,NumWereFleeing,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
state,303,151,365,4,255,34
state,183,114,166,1,199,6
state,125,132,59,0,186,1
state,93,22,98,13,117,0
state,103,19,56,5,110,5
state,75,86,12,0,91,3
state,63,36,10,10,114,3
state,51,68,2,0,94,2
state,46,56,8,0,102,1
state,51,25,24,7,80,9
state,55,35,4,0,106,1
state,62,55,3,0,78,1
state,35,69,2,0,46,2
state,36,46,9,0,54,1
state,63,67,16,0,33,0
state,44,2,75,2,28,0
state,37,33,5,0,74,0
state,39,33,2,0,71,0
state,37,52,11,0,41,1
state,36,16,3,1,82,1
state,35,45,5,1,51,1
state,33,17,31,1,46,3
state,31,23,6,4,63,2
state,25,7,8,0,73,0
state,22,30,2,0,54,1
state,25,28,2,0,60,1
state,26,54,4,0,30,1
state,25,26,0,0,54,1
state,31,26,1,0,42,1
state,29,7,13,2,48,1
state,20,34,8,0,22,1
state,18,13,3,5,45,3
state,21,8,0,0,41,1
state,23,7,9,1,38,0
state,16,1,6,1,36,1
state,18,3,0,9,27,2
state,17,8,8,0,21,0
state,12,0,0,5,32,0
state,16,8,0,0,29,0
state,11,1,1,0,3,12
state,7,6,3,1,18,0
state,4,1,1,0,20,0
state,9,5,7,0,11,0
state,5,0,0,4,11,1
state,2,0,0,0,15,0
state,6,6,1,0,6,0
state,5,14,0,0,2,0
state,5,0,2,2,10,0
state,6,0,0,7,6,0
state,3,0,0,1,8,0
state,3,2,1,0,1,0
