State,County,NumShootings
CA,Los Angeles County,244
AZ,Maricopa County,173
TX,Harris County,85
CA,San Bernardino County,78
NV,Clark County,70
CA,Riverside County,66
IL,Cook County,59
TX,Bexar County,56
FL,Miami-Dade County,52
CA,Orange County,51
WA,King County,48
CA,San Diego County,45
OK,Oklahoma County,42
CA,Kern County,42
TX,Dallas County,42
MO,Jackson County,41
NM,Bernalillo County,41
CO,Adams County,41
AZ,Pima County,40
MO,Saint Louis County,40
MD,Baltimore County,38
UT,Salt Lake County,38
TX,Tarrant County,38
OH,Franklin County,37
CA,Alameda County,36
CO,Denver County,36
CA,Sacramento County,35
FL,Duval County,34
OK,Tulsa County,33
CA,Santa Clara County,32
GA,Fulton County,31
NY,New York County,31
TX,Travis County,29
WA,Pierce County,28
CA,Fresno County,27
FL,Broward County,27
FL,Orange County,26
MI,Wayne County,25
PA,Unknown County,24
KY,Jefferson County,24
CA,Unknown County,24
WI,Milwaukee County,22
PA,Philadelphia County,22
FL,Hillsborough County,22
MI,Unknown County,22
FL,Volusia County,22
TN,Shelby County,21
IN,Marion County,21
OH,Cuyahoga County,20
WA,Spokane County,20
FL,Polk County,20
CO,Pueblo County,20
TX,El Paso County,20
CO,El Paso County,20
NV,Washoe County,19
FL,Brevard County,19
FL,Pinellas County,19
AL,Jefferson County,19
NC,Mecklenburg County,19
CA,San Joaquin County,19
OR,Multnomah County,19
CO,Jefferson County,18
OH,Unknown County,18
CA,Contra Costa County,18
HI,Honolulu County,18
CA,Shasta County,18
MN,Hennepin County,17
TN,Hamilton County,17
CA,Stanislaus County,17
OH,Montgomery County,16
DC,District of Columbia County,16
CA,San Francisco County,16
FL,Unknown County,15
GA,Cobb County,15
NM,Doña Ana County,15
CA,Tulare County,15
OR,Washington County,14
MD,Prince George's County,14
AR,Pulaski County,14
ID,Ada County,13
AZ,Mohave County,13
WA,Clark County,13
SC,Greenville County,13
LA,East Baton Rouge Parish County,13
KS,Sedgwick County,13
FL,Palm Beach County,13
AK,Anchorage County,12
MT,Yellowstone County,12
AZ,Coconino County,12
UT,Weber County,12
MN,Ramsey County,12
MO,Greene County,12
OR,Lane County,12
LA,Jefferson Parish County,12
AK,Fairbanks North Star County,12
AL,Madison County,12
NJ,Essex County,12
LA,Caddo Parish County,12
TN,Unknown County,12
NE,Douglas County,12
AL,Mobile County,12
TX,Hidalgo County,11
OH,Summit County,11
TX,Ector County,11
IN,Lake County,11
NC,Wake County,11
TX,Brazoria County,11
CO,Weld County,11
GA,DeKalb County,11
MS,Harrison County,11
TX,Galveston County,10
CA,Solano County,10
CO,Arapahoe County,10
MA,Suffolk County,10
CA,Santa Barbara County,10
CA,Butte County,10
PA,Allegheny County,10
TX,Denton County,10
OR,Clackamas County,10
OH,Lucas County,10
TX,Potter County,10
AK,Matanuska-Susitna County,10
WV,Kanawha County,10
IA,Polk County,10
AZ,Pinal County,10
CO,Unknown County,9
SC,Lexington County,9
LA,Orleans Parish County,9
OR,Marion County,9
NC,Cumberland County,9
MI,Oakland County,9
CA,Merced County,9
TX,Nueces County,9
DE,New Castle County,9
MD,Montgomery County,9
SC,Horry County,9
CO,Larimer County,9
IL,Lake County,9
FL,Lake County,9
SD,Pennington County,9
AZ,Yavapai County,9
TX,Jefferson County,9
FL,Saint Lucie County,9
WA,Snohomish County,9
GA,Chatham County,8
AR,Washington County,8
FL,Lee County,8
CA,Monterey County,8
TN,Davidson County,8
UT,Davis County,8
SC,Charleston County,8
VA,Virginia Beach County,8
CA,Ventura County,8
IN,Vanderburgh County,8
TX,Unknown County,8
NJ,Unknown County,8
FL,Escambia County,8
NC,Guilford County,8
GA,Gwinnett County,8
OH,Hamilton County,8
SC,Spartanburg County,8
CT,Hartford County,8
VA,Richmond County,8
FL,Leon County,8
NJ,Passaic County,8
CO,Mesa County,8
AL,Calhoun County,8
NY,Onondaga County,7
TX,Collin County,7
HI,Hawaii County,7
MA,Middlesex County,7
FL,Sarasota County,7
CA,Tehama County,7
LA,Terrebonne Parish County,7
NC,Caldwell County,7
MA,Essex County,7
CA,Placer County,7
FL,Bay County,7
GA,Clarke County,7
MO,Unknown County,7
TX,Bell County,7
LA,Unknown County,7
NM,San Juan County,7
NC,Gaston County,7
SC,Anderson County,7
CA,Kings County,7
TX,Webb County,7
MS,Hinds County,7
WA,Cowlitz County,7
OK,Comanche County,7
VA,Norfolk County,7
AZ,Apache County,7
TN,Knox County,7
ID,Canyon County,7
CA,Napa County,6
FL,Manatee County,6
MN,Dakota County,6
NJ,Cumberland County,6
TX,McLennan County,6
LA,Saint Tammany Parish County,6
NC,Randolph County,6
HI,Unknown County,6
FL,Nassau County,6
ID,Bonneville County,6
TN,Washington County,6
WI,Eau Claire County,6
TX,Montgomery County,6
NC,Durham County,6
NJ,Ocean County,6
TX,Cameron County,6
KS,Johnson County,6
MS,DeSoto County,6
CO,Douglas County,6
TX,Midland County,6
NY,Kings County,6
NE,Lancaster County,6
FL,Pasco County,6
MA,Worcester County,6
MD,Cecil County,6
NY,Suffolk County,6
WA,Thurston County,6
CO,Boulder County,6
OK,Cherokee County,6
GA,Hall County,6
FL,Hernando County,6
