County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Acadia Parish County,2,100.00,100.00,0.00,0.00,0.00,0.00,18.30,77.80,2.20,0.30,0.40
Ada County,13,100.00,0.00,23.08,76.92,0.00,0.00,1.30,85.50,7.70,0.80,2.60
Adair County,2,50.00,0.00,0.00,100.00,0.00,0.00,0.50,41.90,6.10,44.00,0.60
Adams County,41,94.59,20.00,25.71,51.43,0.00,2.86,3.70,51.90,38.80,2.10,4.10
Adams County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.20,93.60,3.20,1.00,0.50
Adams County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.70,92.40,1.40,0.20,0.80
Adams County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,96.60,0.80,0.50,0.20
Adams County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,89.70,6.60,0.40,0.90
Adams County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.40,35.60,62.00,5.00,1.50
Aiken County,5,100.00,20.00,0.00,80.00,0.00,0.00,25.10,67.00,5.40,0.50,0.90
Aitkin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,94.10,1.20,2.80,0.30
Alachua County,4,100.00,66.67,0.00,33.33,0.00,0.00,20.50,62.60,9.10,0.30,5.90
Alamance County,3,66.67,33.33,33.33,33.33,0.00,0.00,19.50,65.70,12.10,1.40,1.60
Alameda County,36,90.91,40.00,23.33,26.67,0.00,6.67,12.10,32.80,22.70,1.10,28.90
Alamosa County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.90,49.50,45.50,5.50,1.60
Albany County,2,100.00,0.00,0.00,100.00,0.00,0.00,13.70,73.80,5.70,0.30,5.80
Albany County,2,50.00,0.00,50.00,50.00,0.00,0.00,1.80,83.40,9.40,1.10,3.10
Alexandria County,2,100.00,0.00,0.00,100.00,0.00,0.00,22.60,52.30,16.60,0.80,6.90
Allegany County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.20,87.40,1.60,0.20,1.00
Alleghany County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,87.00,9.50,0.50,0.80
Allegheny County,10,90.00,100.00,0.00,0.00,0.00,0.00,13.40,79.60,1.90,0.20,3.40
Allen County,4,100.00,0.00,25.00,75.00,0.00,0.00,12.10,74.90,7.20,0.50,3.50
Allen County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,95.40,1.90,0.30,0.30
Allen County,1,100.00,0.00,0.00,100.00,0.00,0.00,12.40,81.50,2.80,0.30,0.80
Anderson County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.20,94.20,1.50,0.20,0.60
Anderson County,7,83.33,0.00,16.67,83.33,0.00,0.00,16.60,77.70,3.50,0.30,0.90
Anderson County,4,100.00,25.00,0.00,75.00,0.00,0.00,4.20,89.90,2.50,0.40,1.40
Anderson County,2,100.00,0.00,0.00,100.00,0.00,0.00,21.70,59.90,17.00,0.70,0.80
Androscoggin County,3,100.00,0.00,0.00,100.00,0.00,0.00,3.80,91.40,1.70,0.40,0.80
Angelina County,1,100.00,100.00,0.00,0.00,0.00,0.00,15.70,61.50,21.20,0.80,1.10
Anne Arundel County,5,100.00,20.00,0.00,80.00,0.00,0.00,16.60,70.20,7.20,0.40,3.90
Anoka County,4,100.00,25.00,0.00,25.00,50.00,0.00,5.40,83.40,4.00,0.80,4.30
Anson County,4,100.00,0.00,0.00,100.00,0.00,0.00,48.60,45.50,3.50,0.80,1.10
Apache County,7,100.00,0.00,0.00,50.00,50.00,0.00,0.90,19.00,6.40,73.50,0.40
Arapahoe County,10,100.00,11.11,11.11,77.78,0.00,0.00,10.90,62.10,18.80,1.10,5.60
Arlington County,2,0.00,0.00,50.00,50.00,0.00,0.00,9.10,62.80,15.70,0.70,10.30
Aroostook County,4,100.00,0.00,0.00,50.00,0.00,0.00,0.80,94.50,1.10,1.90,0.50
Ashe County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.00,92.40,5.30,0.30,0.50
Ashland County,2,100.00,0.00,0.00,50.00,50.00,0.00,0.50,82.90,2.40,11.30,0.40
Ashtabula County,1,0.00,0.00,0.00,100.00,0.00,0.00,3.80,90.10,3.80,0.30,0.50
Atascosa County,3,100.00,0.00,33.33,66.67,0.00,0.00,1.40,35.10,62.60,1.20,0.60
Athens County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.70,89.80,1.80,0.40,3.40
Atkinson County,1,100.00,0.00,0.00,100.00,0.00,0.00,17.90,56.90,23.90,1.30,0.80
Atlantic County,5,100.00,80.00,0.00,20.00,0.00,0.00,17.30,56.80,18.50,0.70,8.20
Aurora County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,91.80,4.40,2.00,0.60
Austin County,1,100.00,0.00,0.00,100.00,0.00,0.00,9.60,63.30,25.90,0.80,0.60
Avoyelles Parish County,2,50.00,0.00,0.00,100.00,0.00,0.00,29.50,65.60,1.80,1.30,0.60
Baca County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.10,85.50,10.50,2.00,0.40
Baker County,1,100.00,0.00,0.00,100.00,0.00,0.00,13.50,81.90,2.40,0.40,0.70
Baldwin County,4,75.00,25.00,0.00,75.00,0.00,0.00,9.60,83.00,4.60,0.70,0.90
Baltimore County,38,91.67,81.08,0.00,18.92,0.00,0.00,42.96,46.11,4.87,0.40,4.53
Bannock County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.90,85.00,8.00,3.70,1.40
Barber County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,93.20,3.60,0.90,0.60
Barbour County,1,100.00,100.00,0.00,0.00,0.00,0.00,47.60,46.60,4.50,0.60,0.50
Barren County,1,100.00,100.00,0.00,0.00,0.00,0.00,4.20,90.80,3.00,0.30,0.70
Barrow County,1,100.00,0.00,0.00,0.00,0.00,0.00,11.70,73.40,9.60,0.50,3.80
Barry County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.50,87.10,8.80,1.30,1.40
Barton County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,92.90,2.50,1.30,0.50
Bartow County,3,66.67,0.00,0.00,100.00,0.00,0.00,10.90,78.70,8.00,0.60,1.00
Bates County,1,100.00,100.00,0.00,0.00,0.00,0.00,1.10,94.60,2.20,0.80,0.20
Bath County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.50,95.70,1.30,0.20,0.20
Bay County,7,100.00,42.86,0.00,57.14,0.00,0.00,11.30,77.70,5.70,0.80,2.30
Bay County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.70,90.40,5.00,0.60,0.70
Beaufort County,1,100.00,100.00,0.00,0.00,0.00,0.00,25.30,66.00,7.50,0.90,0.60
Beaufort County,1,100.00,0.00,0.00,100.00,0.00,0.00,19.10,67.10,11.40,0.40,1.40
Beauregard Parish County,2,100.00,50.00,0.00,50.00,0.00,0.00,13.50,79.40,3.60,1.20,0.70
Beaverhead County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,91.90,3.70,1.90,0.50
Bedford County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.30,77.60,11.70,1.20,1.30
Belknap County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,95.00,1.60,0.30,1.20
Bell County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.40,94.40,1.00,0.20,0.40
Bell County,7,71.43,66.67,0.00,33.33,0.00,0.00,22.70,48.20,23.50,1.10,3.30
Belmont County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.20,93.00,0.90,0.20,0.40
Beltrami County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.80,73.30,2.00,21.00,0.70
Benson County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.10,42.10,2.20,54.40,0.40
Benton County,4,100.00,25.00,0.00,75.00,0.00,0.00,1.90,74.90,16.20,1.90,3.40
Benton County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,82.10,7.00,0.90,6.00
Benton County,5,100.00,20.00,0.00,80.00,0.00,0.00,1.60,72.30,20.40,1.30,3.00
Bergen County,3,100.00,33.33,66.67,0.00,0.00,0.00,6.80,58.60,18.50,0.40,16.30
Berkeley County,3,100.00,0.00,0.00,100.00,0.00,0.00,25.10,63.90,6.10,0.70,2.50
Berkeley County,2,100.00,100.00,0.00,0.00,0.00,0.00,7.50,85.10,3.90,0.30,1.10
Berks County,3,66.67,0.00,33.33,66.67,0.00,0.00,6.70,74.20,18.70,0.80,1.60
Berkshire County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.10,89.60,4.10,0.30,1.40
Bernalillo County,41,92.11,0.00,76.32,23.68,0.00,0.00,3.40,40.20,49.00,5.80,2.70
Berrien County,2,100.00,50.00,0.00,50.00,0.00,0.00,15.40,75.30,5.10,0.60,1.90
Bexar County,56,94.55,11.76,66.67,21.57,0.00,0.00,8.30,29.20,59.30,1.20,2.90
Bibb County,4,100.00,66.67,0.00,33.33,0.00,0.00,53.80,40.30,3.20,0.30,1.90
Big Horn County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.40,29.60,5.60,64.40,0.50
Bingham County,2,100.00,0.00,0.00,50.00,50.00,0.00,0.50,74.40,17.80,7.50,0.70
Bladen County,2,100.00,50.00,0.00,50.00,0.00,0.00,34.60,54.60,7.70,2.90,0.30
Bleckley County,1,100.00,0.00,0.00,100.00,0.00,0.00,26.80,68.90,2.60,0.10,1.00
Blount County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,91.50,3.00,0.40,1.00
Blue Earth County,2,50.00,0.00,0.00,100.00,0.00,0.00,3.50,89.40,3.20,0.40,2.30
Bonner County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.30,93.40,2.90,0.90,0.70
Bonneville County,6,83.33,16.67,0.00,66.67,0.00,16.67,0.70,83.80,12.50,1.10,1.00
Boone County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.20,94.60,2.40,0.40,0.50
Boone County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.20,88.50,4.00,0.20,2.70
Boone County,3,100.00,66.67,0.00,33.33,0.00,0.00,9.60,80.00,3.20,0.40,4.40
Bossier Parish County,5,100.00,20.00,0.00,80.00,0.00,0.00,21.70,67.90,6.40,0.70,1.80
Botetourt County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.50,93.10,1.50,0.30,0.70
Boulder County,6,100.00,0.00,16.67,66.67,0.00,16.67,1.10,78.30,13.80,0.80,4.50
Bourbon County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.30,85.00,6.90,0.40,0.40
Bowie County,1,100.00,0.00,0.00,100.00,0.00,0.00,24.70,64.80,7.30,1.00,1.10
Bradford County,2,100.00,50.00,0.00,50.00,0.00,0.00,19.10,74.90,3.80,0.40,0.50
Bradley County,1,100.00,100.00,0.00,0.00,0.00,0.00,27.60,56.30,14.30,1.90,0.50
Bradley County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.80,87.10,5.50,0.60,1.20
Braxton County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.60,97.20,0.70,0.30,0.30
Brazoria County,11,100.00,10.00,10.00,80.00,0.00,0.00,13.50,49.90,29.20,0.80,6.30
Brazos County,1,100.00,0.00,0.00,100.00,0.00,0.00,11.40,57.20,24.80,0.70,5.60
Brevard County,19,100.00,35.29,11.76,52.94,0.00,0.00,10.70,75.80,9.30,0.50,2.40
Brewster County,1,0.00,0.00,100.00,0.00,0.00,0.00,1.40,53.00,43.10,1.70,1.20
Bristol County,2,100.00,50.00,50.00,0.00,0.00,0.00,4.70,85.10,6.90,0.60,2.20
Bristol County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.90,89.60,1.70,0.30,0.90
Bronx County,4,100.00,75.00,25.00,0.00,0.00,0.00,43.50,10.20,54.80,2.90,4.40
Brooke County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,96.00,0.80,0.10,0.40
Broome County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.70,84.50,3.90,0.20,4.20
Broomfield County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,78.00,12.00,0.80,6.30
Broward County,27,76.00,64.00,12.00,20.00,0.00,0.00,28.90,39.80,27.50,0.40,3.70
Brown County,3,100.00,0.00,33.33,66.67,0.00,0.00,2.50,82.20,8.00,3.10,3.20
Brunswick County,2,100.00,50.00,0.00,50.00,0.00,0.00,11.20,81.40,4.80,0.90,0.70
Bryan County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.90,72.40,5.50,13.50,0.70
Buchanan County,3,66.67,0.00,0.00,100.00,0.00,0.00,6.00,84.40,6.00,0.60,1.10
Buchanan County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.80,95.70,0.60,0.10,0.30
Buckingham County,1,0.00,100.00,0.00,0.00,0.00,0.00,34.60,61.00,2.10,0.30,0.40
Bullitt County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.10,95.20,1.70,0.30,0.60
Bulloch County,1,100.00,0.00,0.00,100.00,0.00,0.00,29.10,64.20,3.70,0.40,1.70
Buncombe County,2,100.00,50.00,0.00,50.00,0.00,0.00,6.50,83.70,6.50,0.50,1.20
Burke County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.80,82.10,5.80,0.80,3.70
Burleigh County,2,50.00,0.00,0.00,100.00,0.00,0.00,1.20,90.80,1.90,4.10,0.70
Burlington County,1,100.00,0.00,100.00,0.00,0.00,0.00,17.50,68.90,7.50,0.30,5.00
Burnet County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.40,73.80,21.90,1.10,0.60
Butler County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,89.80,4.50,1.10,1.00
Butler County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.50,89.30,1.70,0.70,0.80
Butler County,5,100.00,40.00,0.00,60.00,0.00,0.00,8.10,82.70,4.50,0.30,2.80
Butte County,10,90.00,11.11,11.11,77.78,0.00,0.00,1.80,73.50,15.50,2.50,4.60
Butts County,2,100.00,0.00,0.00,100.00,0.00,0.00,27.70,67.60,3.10,0.30,0.50
Cabarrus County,1,100.00,100.00,0.00,0.00,0.00,0.00,17.10,69.00,10.00,0.70,2.80
Cabell County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.10,90.20,1.40,0.20,1.20
Cache County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,84.20,10.50,1.00,2.60
Caddo Parish County,12,91.67,66.67,0.00,33.33,0.00,0.00,48.20,46.40,2.80,0.50,1.30
Caddo County,2,100.00,0.00,0.00,0.00,100.00,0.00,3.00,58.30,11.30,25.40,0.30
Calaveras County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,82.10,11.50,1.90,1.50
Calcasieu Parish County,3,100.00,66.67,0.00,33.33,0.00,0.00,25.30,68.60,3.10,0.50,1.30
Caldwell County,1,100.00,100.00,0.00,0.00,0.00,0.00,5.50,91.10,1.50,0.30,0.30
Caldwell County,7,100.00,16.67,0.00,83.33,0.00,0.00,5.10,88.00,5.00,0.60,0.70
