County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Acadia Parish County,2,2,0,2,0,1374,2,11434,0,48614
Ada County,12,9,4,9,3,32820,0,5541,10,364431
Adair County,1,0,0,2,0,1353,0,110,2,9295
Adams County,35,28,4,37,9,186518,7,17786,18,249492
Adams County,1,1,1,0,0,123,0,7,1,3613
Adams County,1,1,0,1,0,937,0,2478,1,61896
Adams County,1,1,0,1,0,225,0,168,1,27172
Adams County,1,0,0,1,0,6713,0,1932,1,91237
Adams County,1,0,0,1,0,11890,0,268,0,6827
Aiken County,5,4,0,5,0,8896,1,41353,4,110384
Aitkin County,1,1,0,1,0,189,0,63,1,14840
Alachua County,4,3,0,4,0,23330,2,52557,1,160493
Alamance County,2,0,0,3,1,18850,1,30379,1,102355
Alameda County,30,17,9,27,7,365679,12,194921,8,528382
Alamosa County,2,1,0,2,1,7360,0,307,1,8007
Albany County,2,0,0,2,0,17565,0,42219,2,227430
Albany County,1,0,0,2,1,3554,0,680,1,31534
Alexandria County,2,2,0,2,0,24995,0,34029,2,78750
Allegany County,1,1,0,1,0,1167,0,5982,1,63760
Alleghany County,1,0,1,0,0,1033,0,206,1,9464
Allegheny County,9,7,0,10,0,23393,10,164988,0,980078
Allen County,4,2,0,4,1,26346,0,44276,3,274072
Allen County,1,1,0,1,0,387,0,224,1,19446
Allen County,1,1,0,1,0,2941,0,13024,1,85607
Anderson County,1,1,0,1,0,328,0,481,1,20618
Anderson County,5,4,1,6,1,6748,0,32006,5,149813
Anderson County,4,2,0,4,0,1888,1,3172,3,67899
Anderson County,2,0,1,1,0,9796,0,12505,2,34518
Androscoggin County,3,2,0,3,0,1826,0,4082,3,98200
Angelina County,1,0,1,0,0,18603,1,13776,0,53966
Anne Arundel County,5,3,0,5,0,40329,1,92982,4,393213
Anoka County,3,2,2,2,0,13674,1,18460,1,285114
Anson County,3,3,0,4,0,901,0,12521,4,11723
Apache County,7,5,0,7,0,4596,0,646,2,13647
Arapahoe County,10,9,1,9,1,116338,1,67451,7,384287
Arlington County,0,0,0,2,1,35624,0,20648,1,142498
Aroostook County,4,0,0,4,0,763,0,555,1,65627
Ashe County,1,1,1,1,0,1437,0,271,2,25064
Ashland County,2,1,0,2,0,386,0,80,1,13349
Ashtabula County,0,0,0,1,0,3768,0,3768,1,89356
Atascosa County,3,1,0,3,1,29906,0,668,2,16768
Athens County,1,1,0,1,0,1164,0,1747,1,58112
Atkinson County,1,1,0,1,0,1965,0,1471,1,4678
Atlantic County,4,1,2,3,0,50913,4,47611,1,156318
Aurora County,1,1,0,1,0,120,0,13,1,2519
Austin County,1,1,1,0,0,7540,0,2794,1,18429
Avoyelles Parish County,1,1,1,1,0,740,0,12137,1,26991
Baca County,1,1,0,1,0,382,0,40,0,3116
Baker County,1,1,0,1,0,650,0,3657,1,22189
Baldwin County,3,3,0,4,0,9205,1,19210,3,166092
Baltimore County,33,24,18,20,0,70617,30,622867,7,668474
Bannock County,3,2,1,2,0,6667,0,750,1,70844
Barber County,1,1,0,1,0,176,0,29,1,4564
Barbour County,1,1,1,0,0,1209,1,12798,0,12529
Barren County,1,1,0,1,0,1294,1,1812,0,39178
Barrow County,1,1,0,1,0,7031,0,8569,0,53758
Barry County,0,0,0,1,0,3138,0,178,1,31061
Barton County,1,1,0,1,0,301,0,96,1,11200
Bartow County,2,2,0,3,0,8138,0,11089,3,80066
Bates County,1,1,0,1,0,364,1,182,0,15688
Bath County,1,0,0,2,0,158,0,183,2,11681
Bay County,7,6,0,7,0,10202,3,20225,4,139071
Bay County,1,1,0,1,0,5308,0,1805,1,95985
Beaufort County,1,1,1,0,0,3568,1,12039,0,31406
Beaufort County,1,1,0,1,0,20047,0,33587,1,117996
Beauregard Parish County,2,0,0,2,0,1303,1,4886,1,28741
Beaverhead County,1,1,0,1,0,345,0,37,1,8588
Bedford County,1,1,0,1,0,5455,0,3870,1,36182
Belknap County,2,1,0,2,0,964,0,482,2,57289
Bell County,1,1,0,1,0,277,0,666,0,26222
Bell County,5,5,1,6,0,77347,4,74714,2,158645
Belmont County,1,0,0,1,0,625,0,2917,1,64598
Beltrami County,1,1,1,0,0,913,0,365,0,33471
Benson County,1,1,0,1,0,150,0,6,0,2876
Benton County,4,2,0,4,0,39256,1,4604,3,181498
Benton County,1,0,1,0,0,6042,0,949,1,70865
Benton County,5,3,0,5,0,38043,1,2983,4,134829
Bergen County,3,0,0,3,2,172710,1,63482,0,547073
Berkeley County,3,3,0,3,0,12090,0,49749,3,126652
Berkeley County,2,2,0,2,0,4309,1,8287,0,94032
Berks County,2,1,0,3,1,77360,0,27717,2,306958
Berkshire County,1,0,0,1,0,5277,0,3990,1,115328
Bernalillo County,35,29,8,33,29,331019,0,22968,9,271571
Berrien County,2,2,1,1,0,7916,1,23905,1,116890
Bexar County,52,39,4,52,34,1100528,6,154036,11,541912
Bibb County,4,1,0,4,0,4924,2,82800,1,62023
Big Horn County,1,0,0,1,0,743,0,53,0,3931
Bingham County,2,1,0,2,0,8057,0,226,1,33680
Bladen County,2,2,0,2,0,2668,1,11991,1,18922
Bleckley County,1,1,0,1,0,332,0,3429,1,8815
Blount County,1,1,0,1,0,3790,0,3790,1,115600
Blue Earth County,1,1,0,2,0,2092,0,2288,2,58454
Bonner County,3,3,0,3,0,1205,0,124,3,38840
Bonneville County,5,4,0,6,0,13577,1,760,4,91026
Boone County,2,0,0,2,0,634,0,317,2,25005
