County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Acadia Parish County,100.00,0.00,100.00,100.00,0.00,2.20,100.00,18.30,0.00,77.80
Ada County,100.00,7.69,69.23,75.00,23.08,7.70,0.00,1.30,76.92,85.50
Adair County,50.00,50.00,100.00,0.00,0.00,6.10,0.00,0.50,100.00,41.90
Adams County,94.59,14.63,90.24,75.68,25.71,38.80,20.00,3.70,51.43,51.90
Adams County,100.00,0.00,0.00,100.00,0.00,3.20,0.00,0.20,100.00,93.60
Adams County,100.00,0.00,100.00,100.00,0.00,1.40,0.00,3.70,100.00,92.40
Adams County,100.00,0.00,100.00,100.00,0.00,0.80,0.00,0.60,100.00,96.60
Adams County,100.00,0.00,100.00,0.00,0.00,6.60,0.00,1.90,100.00,89.70
Adams County,100.00,0.00,100.00,0.00,0.00,62.00,0.00,1.40,0.00,35.60
Aiken County,100.00,0.00,100.00,80.00,0.00,5.40,20.00,25.10,80.00,67.00
Aitkin County,100.00,0.00,100.00,100.00,0.00,1.20,0.00,0.40,100.00,94.10
Alachua County,100.00,0.00,100.00,75.00,0.00,9.10,66.67,20.50,33.33,62.60
Alamance County,66.67,33.33,100.00,0.00,33.33,12.10,33.33,19.50,33.33,65.70
Alameda County,90.91,16.67,75.00,51.52,23.33,22.70,40.00,12.10,26.67,32.80
Alamosa County,100.00,0.00,100.00,50.00,50.00,45.50,0.00,1.90,50.00,49.50
Albany County,100.00,0.00,100.00,0.00,0.00,5.70,0.00,13.70,100.00,73.80
Albany County,50.00,50.00,100.00,0.00,50.00,9.40,0.00,1.80,50.00,83.40
Alexandria County,100.00,0.00,100.00,100.00,0.00,16.60,0.00,22.60,100.00,52.30
Allegany County,100.00,0.00,100.00,100.00,0.00,1.60,0.00,8.20,100.00,87.40
Alleghany County,100.00,0.00,0.00,0.00,0.00,9.50,0.00,1.90,100.00,87.00
Allegheny County,90.00,10.00,100.00,70.00,0.00,1.90,100.00,13.40,0.00,79.60
Allen County,100.00,0.00,100.00,50.00,25.00,7.20,0.00,12.10,75.00,74.90
Allen County,100.00,0.00,100.00,100.00,0.00,1.90,0.00,1.10,100.00,95.40
Allen County,100.00,0.00,100.00,100.00,0.00,2.80,0.00,12.40,100.00,81.50
Anderson County,100.00,0.00,100.00,100.00,0.00,1.50,0.00,2.20,100.00,94.20
Anderson County,83.33,28.57,85.71,66.67,16.67,3.50,0.00,16.60,83.33,77.70
Anderson County,100.00,0.00,100.00,50.00,0.00,2.50,25.00,4.20,75.00,89.90
Anderson County,100.00,0.00,50.00,0.00,0.00,17.00,0.00,21.70,100.00,59.90
Androscoggin County,100.00,0.00,100.00,66.67,0.00,1.70,0.00,3.80,100.00,91.40
Angelina County,100.00,0.00,0.00,0.00,0.00,21.20,100.00,15.70,0.00,61.50
Anne Arundel County,100.00,0.00,100.00,60.00,0.00,7.20,20.00,16.60,80.00,70.20
Anoka County,100.00,25.00,50.00,66.67,0.00,4.00,25.00,5.40,25.00,83.40
Anson County,100.00,25.00,100.00,100.00,0.00,3.50,0.00,48.60,100.00,45.50
Apache County,100.00,0.00,100.00,71.43,0.00,6.40,0.00,0.90,50.00,19.00
Arapahoe County,100.00,0.00,90.00,90.00,11.11,18.80,11.11,10.90,77.78,62.10
Arlington County,0.00,100.00,100.00,0.00,50.00,15.70,0.00,9.10,50.00,62.80
Aroostook County,100.00,0.00,100.00,0.00,0.00,1.10,0.00,0.80,50.00,94.50
Ashe County,100.00,50.00,50.00,100.00,0.00,5.30,0.00,1.00,100.00,92.40
Ashland County,100.00,0.00,100.00,50.00,0.00,2.40,0.00,0.50,50.00,82.90
Ashtabula County,0.00,100.00,100.00,0.00,0.00,3.80,0.00,3.80,100.00,90.10
Atascosa County,100.00,0.00,100.00,33.33,33.33,62.60,0.00,1.40,66.67,35.10
Athens County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,2.70,100.00,89.80
Atkinson County,100.00,0.00,100.00,100.00,0.00,23.90,0.00,17.90,100.00,56.90
Atlantic County,100.00,20.00,60.00,25.00,0.00,18.50,80.00,17.30,20.00,56.80
Aurora County,100.00,0.00,100.00,100.00,0.00,4.40,0.00,0.50,100.00,91.80
Austin County,100.00,0.00,0.00,100.00,0.00,25.90,0.00,9.60,100.00,63.30
Avoyelles Parish County,50.00,50.00,50.00,50.00,0.00,1.80,0.00,29.50,100.00,65.60
Baca County,100.00,0.00,100.00,100.00,0.00,10.50,0.00,1.10,0.00,85.50
Baker County,100.00,0.00,100.00,100.00,0.00,2.40,0.00,13.50,100.00,81.90
Baldwin County,75.00,25.00,100.00,75.00,0.00,4.60,25.00,9.60,75.00,83.00
Baltimore County,91.67,13.16,52.63,66.67,0.00,4.87,81.08,42.96,18.92,46.11
Bannock County,100.00,0.00,66.67,66.67,0.00,8.00,0.00,0.90,100.00,85.00
Barber County,100.00,0.00,100.00,100.00,0.00,3.60,0.00,0.60,100.00,93.20
Barbour County,100.00,0.00,0.00,100.00,0.00,4.50,100.00,47.60,0.00,46.60
Barren County,100.00,0.00,100.00,100.00,0.00,3.00,100.00,4.20,0.00,90.80
Barrow County,100.00,0.00,100.00,100.00,0.00,9.60,0.00,11.70,0.00,73.40
Barry County,0.00,100.00,100.00,0.00,0.00,8.80,0.00,0.50,100.00,87.10
Barton County,100.00,0.00,100.00,100.00,0.00,2.50,0.00,0.80,100.00,92.90
Bartow County,66.67,33.33,100.00,66.67,0.00,8.00,0.00,10.90,100.00,78.70
Bates County,100.00,0.00,100.00,100.00,0.00,2.20,100.00,1.10,0.00,94.60
Bath County,100.00,50.00,100.00,0.00,0.00,1.30,0.00,1.50,100.00,95.70
Bay County,100.00,0.00,100.00,85.71,0.00,5.70,42.86,11.30,57.14,77.70
Bay County,100.00,0.00,100.00,100.00,0.00,5.00,0.00,1.70,100.00,90.40
Beaufort County,100.00,0.00,0.00,100.00,0.00,7.50,100.00,25.30,0.00,66.00
Beaufort County,100.00,0.00,100.00,100.00,0.00,11.40,0.00,19.10,100.00,67.10
Beauregard Parish County,100.00,0.00,100.00,0.00,0.00,3.60,50.00,13.50,50.00,79.40
Beaverhead County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,0.40,100.00,91.90
Bedford County,100.00,0.00,100.00,100.00,0.00,11.70,0.00,8.30,100.00,77.60
Belknap County,100.00,0.00,100.00,50.00,0.00,1.60,0.00,0.80,100.00,95.00
Bell County,100.00,0.00,100.00,100.00,0.00,1.00,0.00,2.40,0.00,94.40
Bell County,71.43,28.57,85.71,71.43,0.00,23.50,66.67,22.70,33.33,48.20
Belmont County,100.00,0.00,100.00,0.00,0.00,0.90,0.00,4.20,100.00,93.00
Beltrami County,100.00,0.00,0.00,100.00,0.00,2.00,0.00,0.80,0.00,73.30
Benson County,100.00,0.00,100.00,100.00,0.00,2.20,0.00,0.10,0.00,42.10
Benton County,100.00,0.00,100.00,50.00,0.00,16.20,25.00,1.90,75.00,74.90
Benton County,100.00,0.00,0.00,0.00,0.00,7.00,0.00,1.10,100.00,82.10
Benton County,100.00,0.00,100.00,60.00,0.00,20.40,20.00,1.60,80.00,72.30
Bergen County,100.00,0.00,100.00,0.00,66.67,18.50,33.33,6.80,0.00,58.60
Berkeley County,100.00,0.00,100.00,100.00,0.00,6.10,0.00,25.10,100.00,63.90
Berkeley County,100.00,0.00,100.00,100.00,0.00,3.90,100.00,7.50,0.00,85.10
Berks County,66.67,33.33,100.00,33.33,33.33,18.70,0.00,6.70,66.67,74.20
Berkshire County,100.00,0.00,100.00,0.00,0.00,4.10,0.00,3.10,100.00,89.60
Bernalillo County,92.11,14.63,80.49,76.32,76.32,49.00,0.00,3.40,23.68,40.20
Berrien County,100.00,0.00,50.00,100.00,0.00,5.10,50.00,15.40,50.00,75.30
Bexar County,94.55,7.14,92.86,70.91,66.67,59.30,11.76,8.30,21.57,29.20
Bibb County,100.00,0.00,100.00,25.00,0.00,3.20,66.67,53.80,33.33,40.30
Big Horn County,100.00,0.00,100.00,0.00,0.00,5.60,0.00,0.40,0.00,29.60
Bingham County,100.00,0.00,100.00,50.00,0.00,17.80,0.00,0.50,50.00,74.40
Bladen County,100.00,0.00,100.00,100.00,0.00,7.70,50.00,34.60,50.00,54.60
Bleckley County,100.00,0.00,100.00,100.00,0.00,2.60,0.00,26.80,100.00,68.90
Blount County,100.00,0.00,100.00,100.00,0.00,3.00,0.00,3.00,100.00,91.50
Blue Earth County,50.00,50.00,100.00,50.00,0.00,3.20,0.00,3.50,100.00,89.40
Bonner County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,0.30,100.00,93.40
Bonneville County,83.33,16.67,100.00,66.67,0.00,12.50,16.67,0.70,66.67,83.80
Boone County,100.00,0.00,100.00,0.00,0.00,2.40,0.00,1.20,100.00,94.60
Boone County,100.00,0.00,100.00,0.00,0.00,4.00,0.00,3.20,100.00,88.50
Boone County,100.00,0.00,66.67,66.67,0.00,3.20,66.67,9.60,33.33,80.00
Bossier Parish County,100.00,40.00,80.00,0.00,0.00,6.40,20.00,21.70,80.00,67.90
Botetourt County,100.00,0.00,100.00,100.00,0.00,1.50,0.00,3.50,100.00,93.10
Boulder County,100.00,16.67,83.33,60.00,16.67,13.80,0.00,1.10,66.67,78.30
Bourbon County,100.00,0.00,100.00,100.00,0.00,6.90,0.00,6.30,100.00,85.00
Bowie County,100.00,0.00,100.00,100.00,0.00,7.30,0.00,24.70,100.00,64.80
Bradford County,100.00,0.00,100.00,100.00,0.00,3.80,50.00,19.10,50.00,74.90
Bradley County,100.00,0.00,100.00,100.00,0.00,14.30,100.00,27.60,0.00,56.30
Bradley County,100.00,0.00,100.00,0.00,0.00,5.50,0.00,4.80,100.00,87.10
Braxton County,100.00,0.00,100.00,50.00,0.00,0.70,0.00,0.60,100.00,97.20
Brazoria County,100.00,0.00,100.00,100.00,10.00,29.20,10.00,13.50,80.00,49.90
Brazos County,100.00,0.00,100.00,100.00,0.00,24.80,0.00,11.40,100.00,57.20
Brevard County,100.00,21.05,94.74,73.33,11.76,9.30,35.29,10.70,52.94,75.80
Brewster County,0.00,100.00,100.00,0.00,100.00,43.10,0.00,1.40,0.00,53.00
Bristol County,100.00,50.00,100.00,0.00,50.00,6.90,50.00,4.70,0.00,85.10
Bristol County,100.00,0.00,100.00,50.00,0.00,1.70,0.00,5.90,100.00,89.60
Bronx County,100.00,0.00,75.00,25.00,25.00,54.80,75.00,43.50,0.00,10.20
Brooke County,100.00,0.00,100.00,0.00,0.00,0.80,0.00,1.60,100.00,96.00
Broome County,100.00,0.00,100.00,100.00,0.00,3.90,0.00,5.70,100.00,84.50
Broomfield County,100.00,0.00,100.00,100.00,0.00,12.00,0.00,1.40,100.00,78.00
Broward County,76.00,29.63,92.59,56.00,12.00,27.50,64.00,28.90,20.00,39.80
Brown County,100.00,0.00,100.00,66.67,33.33,8.00,0.00,2.50,66.67,82.20
Brunswick County,100.00,0.00,100.00,50.00,0.00,4.80,50.00,11.20,50.00,81.40
Bryan County,0.00,100.00,100.00,0.00,0.00,5.50,0.00,1.90,100.00,72.40
Buchanan County,66.67,33.33,100.00,66.67,0.00,6.00,0.00,6.00,100.00,84.40
Buchanan County,100.00,0.00,100.00,100.00,0.00,0.60,0.00,2.80,100.00,95.70
Buckingham County,0.00,100.00,100.00,0.00,0.00,2.10,100.00,34.60,0.00,61.00
Bullitt County,100.00,0.00,100.00,50.00,0.00,1.70,0.00,1.10,100.00,95.20
Bulloch County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,29.10,100.00,64.20
Buncombe County,100.00,0.00,100.00,100.00,0.00,6.50,50.00,6.50,50.00,83.70
Burke County,100.00,0.00,100.00,0.00,0.00,5.80,0.00,6.80,100.00,82.10
Burleigh County,50.00,50.00,100.00,50.00,0.00,1.90,0.00,1.20,100.00,90.80
Burlington County,100.00,0.00,100.00,0.00,100.00,7.50,0.00,17.50,0.00,68.90
Burnet County,100.00,0.00,0.00,0.00,0.00,21.90,0.00,2.40,100.00,73.80
Butler County,100.00,0.00,0.00,100.00,0.00,4.50,0.00,1.90,100.00,89.80
Butler County,100.00,0.00,100.00,100.00,0.00,1.70,0.00,5.50,100.00,89.30
Butler County,100.00,0.00,100.00,40.00,0.00,4.50,40.00,8.10,60.00,82.70
Butte County,90.00,10.00,70.00,40.00,11.11,15.50,11.11,1.80,77.78,73.50
Butts County,100.00,0.00,100.00,50.00,0.00,3.10,0.00,27.70,100.00,67.60
Cabarrus County,100.00,0.00,100.00,100.00,0.00,10.00,100.00,17.10,0.00,69.00
Cabell County,100.00,0.00,100.00,100.00,0.00,1.40,0.00,5.10,100.00,90.20
Cache County,100.00,0.00,100.00,100.00,0.00,10.50,0.00,0.80,100.00,84.20
Caddo Parish County,91.67,8.33,100.00,58.33,0.00,2.80,66.67,48.20,33.33,46.40
Caddo County,100.00,0.00,100.00,50.00,0.00,11.30,0.00,3.00,0.00,58.30
Calaveras County,100.00,0.00,100.00,0.00,0.00,11.50,0.00,1.00,100.00,82.10
Calcasieu Parish County,100.00,0.00,100.00,66.67,0.00,3.10,66.67,25.30,33.33,68.60
Caldwell County,100.00,0.00,100.00,100.00,0.00,1.50,100.00,5.50,0.00,91.10
Caldwell County,100.00,0.00,57.14,100.00,0.00,5.00,16.67,5.10,83.33,88.00
Caldwell County,100.00,0.00,100.00,0.00,100.00,49.80,0.00,7.00,0.00,42.00
Calhoun County,100.00,12.50,87.50,85.71,14.29,3.50,14.29,21.10,71.43,72.90
