County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Anderson County,100.00,0.00,50.00,0.00,0.00,17.00,0.00,21.70,100.00,59.90
Angelina County,100.00,0.00,0.00,0.00,0.00,21.20,100.00,15.70,0.00,61.50
Atascosa County,100.00,0.00,100.00,33.33,33.33,62.60,0.00,1.40,66.67,35.10
Austin County,100.00,0.00,0.00,100.00,0.00,25.90,0.00,9.60,100.00,63.30
Bell County,71.43,28.57,85.71,71.43,0.00,23.50,66.67,22.70,33.33,48.20
Bexar County,94.55,7.14,92.86,70.91,66.67,59.30,11.76,8.30,21.57,29.20
Bowie County,100.00,0.00,100.00,100.00,0.00,7.30,0.00,24.70,100.00,64.80
Brazoria County,100.00,0.00,100.00,100.00,10.00,29.20,10.00,13.50,80.00,49.90
Brazos County,100.00,0.00,100.00,100.00,0.00,24.80,0.00,11.40,100.00,57.20
Brewster County,0.00,100.00,100.00,0.00,100.00,43.10,0.00,1.40,0.00,53.00
Burnet County,100.00,0.00,0.00,0.00,0.00,21.90,0.00,2.40,100.00,73.80
Caldwell County,100.00,0.00,100.00,0.00,100.00,49.80,0.00,7.00,0.00,42.00
Cameron County,100.00,0.00,100.00,33.33,100.00,88.70,0.00,0.90,0.00,9.90
Carson County,100.00,0.00,100.00,100.00,0.00,10.00,0.00,0.90,0.00,86.00
Cass County,100.00,0.00,100.00,100.00,0.00,4.30,0.00,17.10,100.00,76.50
Chambers County,100.00,0.00,100.00,100.00,0.00,21.30,0.00,9.00,100.00,67.80
Cherokee County,0.00,100.00,100.00,0.00,0.00,22.00,0.00,15.00,100.00,61.40
Childress County,100.00,0.00,100.00,100.00,100.00,29.50,0.00,10.10,0.00,58.50
Cochran County,100.00,0.00,100.00,100.00,100.00,57.00,0.00,5.10,0.00,37.30
Collin County,100.00,14.29,100.00,83.33,20.00,15.10,20.00,9.60,60.00,60.40
Cooke County,100.00,0.00,100.00,100.00,0.00,17.00,0.00,3.20,100.00,76.80
Dallam County,100.00,0.00,100.00,100.00,0.00,42.90,0.00,2.00,100.00,52.60
Dallas County,89.74,16.67,90.48,71.79,21.62,39.30,35.14,23.10,37.84,31.10
Deaf Smith County,100.00,0.00,100.00,100.00,100.00,70.60,0.00,2.00,0.00,27.00
Denton County,100.00,0.00,70.00,50.00,11.11,19.00,44.44,9.60,44.44,61.70
Eastland County,100.00,0.00,100.00,100.00,100.00,16.00,0.00,2.50,0.00,79.60
Ector County,100.00,9.09,100.00,90.00,40.00,57.50,0.00,4.90,60.00,36.00
El Paso County,94.74,10.00,100.00,68.42,53.33,81.20,13.33,4.00,33.33,13.30
Ellis County,100.00,0.00,100.00,100.00,33.33,25.10,33.33,9.70,33.33,63.40
Foard County,0.00,100.00,100.00,0.00,0.00,18.70,0.00,5.30,100.00,74.20
Fort Bend County,100.00,0.00,100.00,80.00,0.00,24.00,60.00,21.10,40.00,35.10
Freestone County,0.00,100.00,100.00,0.00,100.00,14.80,0.00,16.50,0.00,67.30
Frio County,100.00,0.00,0.00,100.00,100.00,77.80,0.00,3.90,0.00,16.20
Gaines County,100.00,0.00,100.00,0.00,0.00,39.50,0.00,2.20,100.00,57.40
Galveston County,90.00,10.00,80.00,30.00,20.00,23.70,10.00,13.60,70.00,58.10
Gonzales County,100.00,0.00,100.00,100.00,0.00,49.40,100.00,7.60,0.00,42.90
Grayson County,100.00,33.33,100.00,0.00,0.00,12.60,33.33,6.20,66.67,76.80
Gregg County,66.67,33.33,83.33,50.00,0.00,18.00,33.33,20.50,66.67,58.80
Guadalupe County,75.00,25.00,75.00,50.00,25.00,37.00,0.00,7.90,75.00,52.20
Hale County,100.00,0.00,100.00,100.00,100.00,58.20,0.00,5.90,0.00,35.20
Hardeman County,100.00,0.00,100.00,0.00,0.00,22.80,0.00,6.10,100.00,68.90
Hardin County,100.00,0.00,100.00,50.00,0.00,5.60,0.00,5.70,100.00,86.80
Harris County,93.75,11.76,88.24,70.00,32.86,41.80,44.29,19.50,20.00,31.40
Harrison County,100.00,0.00,100.00,0.00,0.00,12.30,100.00,22.50,0.00,63.20
Hays County,100.00,0.00,100.00,50.00,0.00,37.00,0.00,4.10,100.00,56.20
Henderson County,100.00,0.00,100.00,100.00,0.00,12.00,0.00,6.70,0.00,79.10
Hidalgo County,100.00,18.18,100.00,66.67,88.89,91.20,0.00,0.90,11.11,7.10
Hockley County,100.00,0.00,100.00,0.00,100.00,46.70,0.00,4.40,0.00,48.00
Hopkins County,100.00,0.00,100.00,0.00,0.00,16.20,0.00,7.50,100.00,74.20
Hudspeth County,100.00,0.00,100.00,0.00,0.00,78.20,100.00,1.80,0.00,19.10
Hunt County,50.00,50.00,50.00,0.00,0.00,14.90,100.00,8.40,0.00,73.40
Hutchinson County,100.00,0.00,100.00,100.00,100.00,22.30,0.00,3.00,0.00,71.40
Jefferson County,100.00,0.00,100.00,55.56,0.00,18.90,42.86,34.30,57.14,42.50
Jim Wells County,100.00,0.00,100.00,0.00,0.00,79.70,0.00,1.00,100.00,18.70
Kaufman County,100.00,33.33,66.67,50.00,0.00,19.40,0.00,10.70,100.00,67.50
Kendall County,66.67,33.33,100.00,66.67,33.33,22.40,33.33,1.10,33.33,74.40
Kerr County,100.00,0.00,100.00,33.33,0.00,25.60,0.00,2.00,100.00,70.20
Knox County,100.00,0.00,100.00,100.00,0.00,33.60,0.00,6.10,100.00,59.30
Lamar County,75.00,25.00,100.00,50.00,25.00,7.50,0.00,13.50,75.00,74.80
Lamb County,100.00,0.00,100.00,0.00,100.00,54.00,0.00,5.10,0.00,40.30
Lee County,100.00,0.00,100.00,0.00,0.00,22.90,100.00,11.30,0.00,64.20
Leon County,0.00,100.00,100.00,0.00,0.00,14.20,0.00,7.50,100.00,76.30
Llano County,100.00,0.00,100.00,50.00,0.00,9.80,0.00,1.30,100.00,87.10
Lubbock County,100.00,25.00,75.00,33.33,66.67,34.00,33.33,7.80,0.00,55.20
Lynn County,0.00,100.00,100.00,0.00,100.00,47.70,0.00,2.50,0.00,48.80
Matagorda County,100.00,0.00,100.00,100.00,0.00,40.40,100.00,11.50,0.00,45.70
McLennan County,100.00,16.67,100.00,40.00,0.00,25.20,40.00,15.10,60.00,57.30
Mclennan County,100.00,0.00,100.00,0.00,0.00,25.20,100.00,15.10,0.00,57.30
Midland County,100.00,0.00,100.00,50.00,20.00,42.40,0.00,6.80,60.00,48.60
Montague County,100.00,0.00,100.00,100.00,0.00,10.50,0.00,0.80,100.00,86.50
Montgomery County,100.00,0.00,100.00,50.00,0.00,22.50,16.67,4.90,83.33,68.60
Moore County,100.00,0.00,100.00,0.00,0.00,52.80,0.00,3.00,100.00,34.90
Nacogdoches County,100.00,0.00,100.00,50.00,0.00,18.50,0.00,18.30,100.00,60.30
Nolan County,100.00,0.00,100.00,100.00,0.00,36.00,0.00,5.20,100.00,57.70
Nueces County,88.89,11.11,55.56,66.67,75.00,62.40,12.50,4.40,12.50,30.90
Panola County,0.00,100.00,100.00,0.00,0.00,9.10,100.00,16.00,0.00,73.10
Parker County,100.00,20.00,100.00,50.00,0.00,11.40,20.00,1.70,80.00,84.40
Pecos County,100.00,0.00,100.00,100.00,100.00,67.60,0.00,4.40,0.00,26.50
Polk County,100.00,0.00,100.00,100.00,0.00,14.40,0.00,11.40,100.00,71.00
Potter County,90.00,10.00,100.00,80.00,55.56,37.40,0.00,10.60,33.33,46.30
Real County,100.00,0.00,100.00,100.00,0.00,26.70,0.00,0.90,100.00,69.60
Red River County,100.00,0.00,0.00,0.00,0.00,7.20,100.00,17.40,0.00,73.10
Refugio County,100.00,0.00,100.00,100.00,0.00,49.80,100.00,6.70,0.00,42.50
Rockwall County,0.00,100.00,100.00,0.00,100.00,17.00,0.00,6.10,0.00,72.60
Runnels County,100.00,0.00,100.00,100.00,0.00,33.90,0.00,2.60,0.00,62.30
Rusk County,100.00,0.00,100.00,100.00,0.00,16.10,0.00,17.70,0.00,64.30
San Patricio County,100.00,0.00,100.00,0.00,100.00,56.00,0.00,2.20,0.00,40.20
Scurry County,50.00,50.00,100.00,50.00,0.00,39.30,0.00,5.10,100.00,54.50
Shelby County,100.00,0.00,100.00,100.00,0.00,18.00,0.00,17.60,100.00,62.80
Sherman County,0.00,100.00,100.00,0.00,0.00,42.20,100.00,1.20,0.00,55.30
Smith County,100.00,0.00,100.00,0.00,100.00,18.70,0.00,17.90,0.00,60.70
Starr County,100.00,0.00,50.00,100.00,50.00,95.80,50.00,0.40,0.00,3.80
Tarrant County,86.11,18.42,84.21,66.67,25.71,27.80,34.29,16.20,37.14,49.30
Taylor County,100.00,0.00,100.00,33.33,0.00,23.60,33.33,7.80,66.67,65.20
