County,NumArmedShootings,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Apache County,7,0,0,2,2,0
Cochise County,3,0,3,0,0,0
Coconino County,11,0,1,3,7,0
Gila County,2,0,0,0,1,0
Graham County,1,0,0,0,1,0
Greenlee County,1,0,0,0,1,0
La Paz County,5,0,2,1,1,0
Maricopa County,158,19,64,5,66,0
Mohave County,12,0,2,0,9,0
Navajo County,4,0,0,2,2,0
Pima County,37,2,17,0,12,0
Pinal County,9,1,2,0,6,0
Santa Cruz County,2,0,2,0,0,0
Yavapai County,9,0,0,0,7,0
Yuma County,5,0,2,0,1,0
