County,NumArmedShootings,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Alameda County,33,12,7,0,8,2
Butte County,10,1,1,0,7,0
Calaveras County,1,0,0,0,1,0
Contra Costa County,18,6,5,0,5,1
Del Norte County,1,0,0,0,0,0
El Dorado County,2,1,0,0,1,0
Fresno County,26,1,16,0,9,1
Humboldt County,4,1,0,0,3,0
Imperial County,4,0,2,0,0,0
Kern County,39,5,23,0,9,0
Kings County,7,1,3,1,1,0
Lake County,4,0,0,0,4,0
Los Angeles County,224,56,123,0,39,12
Madera County,4,0,2,0,2,0
Marin County,2,0,1,0,1,0
Mendocino County,1,0,0,0,1,0
Merced County,9,0,6,0,1,0
Monterey County,8,0,3,0,4,0
Napa County,6,0,3,0,3,0
Nevada County,3,0,0,0,2,0
Orange County,41,4,23,0,9,2
Placer County,7,1,1,0,5,0
Riverside County,57,6,23,0,14,0
Sacramento County,34,15,6,1,11,0
San Bernardino County,72,10,24,0,26,2
San Diego County,42,5,18,0,14,3
San Francisco County,16,4,6,0,5,1
San Joaquin County,17,5,3,0,4,3
San Luis Obispo County,5,0,1,0,4,0
San Mateo County,5,0,2,0,3,0
Santa Barbara County,9,0,7,0,2,0
Santa Clara County,32,4,13,0,7,2
Santa Cruz County,3,0,0,0,2,1
Shasta County,18,0,1,1,14,2
Siskiyou County,3,0,0,0,4,0
Solano County,9,4,4,0,2,0
Sonoma County,2,0,2,0,1,0
Stanislaus County,17,2,8,0,6,1
Sutter County,2,0,1,0,0,1
Tehama County,7,0,3,1,3,0
Trinity County,1,0,0,0,1,0
Tulare County,15,1,9,0,4,0
Tuolumne County,1,0,0,0,0,0
Ventura County,8,1,3,0,2,0
Yolo County,3,1,0,0,1,0
Yuba County,5,2,0,0,2,0
