County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Acadia Parish County,11685,2,0,0,0,0
Ada County,55837,0,3,0,10,0
Adair County,5857,0,0,0,2,0
Adams County,68262,7,9,0,18,1
Adams County,641,0,0,0,1,0
Adams County,9646,0,0,0,1,0
Adams County,6385,0,0,0,1,0
Adams County,8849,0,0,0,1,0
Adams County,4392,0,0,0,0,0
Aiken County,31138,1,0,0,4,0
Aitkin County,1908,0,0,0,1,0
Alachua County,63839,2,0,0,1,0
Alamance County,28510,1,1,0,1,0
Alameda County,201365,12,7,0,8,2
Alamosa County,4287,0,1,0,1,0
Albany County,40062,0,0,0,2,0
Albany County,9831,0,1,0,1,0
Alexandria County,12648,0,0,0,2,0
Allegany County,12694,0,0,0,1,0
Alleghany County,2154,0,0,0,1,0
Allegheny County,158832,10,0,0,0,0
Allen County,55985,0,1,0,3,0
Allen County,3791,0,0,0,1,0
Allen County,19537,0,0,0,1,0
Anderson County,2473,0,0,0,1,0
Anderson County,32392,0,1,0,5,0
Anderson County,13746,1,0,0,3,0
Anderson County,11698,0,0,0,2,0
Androscoggin County,16761,0,0,0,3,0
Angelina County,16936,1,0,0,0,0
Anne Arundel County,35288,1,0,0,4,0
Anoka County,25298,1,0,2,1,0
Anson County,6235,0,0,0,4,0
Apache County,26002,0,0,2,2,0
Arapahoe County,74877,1,1,0,7,0
Arlington County,18153,0,1,0,1,0
Aroostook County,11320,0,0,0,1,0
Ashe County,5724,0,0,0,2,0
Ashland County,3027,0,0,1,1,0
Ashtabula County,18546,0,0,0,1,0
Atascosa County,7835,0,1,0,2,0
Athens County,20514,0,0,0,1,0
Atkinson County,2648,0,0,0,1,0
Atlantic County,39630,4,0,0,1,0
Aurora County,178,0,0,0,1,0
Austin County,2941,0,0,0,1,0
Avoyelles Parish County,9299,0,0,0,1,0
Baca County,554,0,0,0,0,0
Baker County,4687,0,0,0,1,0
Baldwin County,27815,1,0,0,3,0
Baltimore County,221821,30,0,0,7,0
Bannock County,12919,0,0,0,1,0
Barber County,519,0,0,0,1,0
Barbour County,7179,1,0,0,0,0
Barren County,8975,1,0,0,0,0
Barrow County,10034,0,0,0,0,0
Barry County,6811,0,0,0,1,0
Barton County,2255,0,0,0,1,0
Bartow County,17397,0,0,0,3,0
Bates County,3085,1,0,0,0,0
Bath County,3418,0,0,0,2,0
Bay County,26311,3,0,0,4,0
Bay County,15608,0,0,0,1,0
Beaufort County,9993,1,0,0,0,0
Beaufort County,21982,0,0,0,1,0
Beauregard Parish County,6081,1,0,0,1,0
Beaverhead County,1411,0,0,0,1,0
Bedford County,9325,0,0,0,1,0
Belknap County,5970,0,0,0,2,0
Bell County,9306,0,0,0,0,0
Bell County,50358,4,0,0,2,0
Belmont County,10141,0,0,0,1,0
Beltrami County,10000,0,0,1,0,0
Benson County,2446,0,0,1,0,0
Benton County,29563,1,0,0,3,0
Benton County,19421,0,0,0,1,0
Benton County,23870,1,0,0,4,0
Bergen County,67217,1,2,0,0,0
Berkeley County,28542,0,0,0,3,0
Berkeley County,14475,1,0,0,0,0
Berks County,57503,0,1,0,2,0
Berkshire County,16476,0,0,0,1,0
Bernalillo County,121599,0,29,0,9,0
Berrien County,27166,1,0,0,1,0
