County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Apache County,26002,0,0,2,2,0
Cochise County,21794,0,3,0,0,0
Coconino County,31667,0,1,3,7,0
Gila County,11474,0,0,0,1,0
Graham County,8464,0,0,0,1,0
Greenlee County,1495,0,0,0,1,0
La Paz County,3925,0,2,1,1,0
Maricopa County,682561,19,64,5,66,0
Mohave County,39452,0,2,0,9,0
Navajo County,32755,0,0,2,2,0
Pima County,192867,2,17,0,12,0
Pinal County,62699,1,2,0,6,0
Santa Cruz County,12281,0,2,0,0,0
Yavapai County,34577,0,0,0,7,0
Yuma County,41056,0,2,0,1,0
