County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Alameda County,201365,12,7,0,8,2
Butte County,45745,1,1,0,7,0
Calaveras County,4864,0,0,0,1,0
Contra Costa County,116691,6,5,0,5,1
Del Norte County,5932,0,0,0,0,0
El Dorado County,16478,1,0,0,1,0
Fresno County,251153,1,16,0,9,1
Humboldt County,27501,1,0,0,3,0
Imperial County,41728,0,2,0,0,0
Kern County,200281,5,23,0,9,0
Kings County,31556,1,3,1,1,0
Lake County,16046,0,0,0,4,0
Los Angeles County,1800773,56,123,0,39,12
Madera County,35237,0,2,0,2,0
Marin County,20078,0,1,0,1,0
Mendocino County,17574,0,0,0,1,0
Merced County,67654,0,6,0,1,0
Monterey County,73328,0,3,0,4,0
Napa County,14308,0,3,0,3,0
Nevada County,11867,0,0,0,2,0
Orange County,390044,4,23,0,9,2
Placer County,32337,1,1,0,5,0
Riverside County,377342,6,23,0,14,0
Sacramento County,260837,15,6,1,11,0
San Bernardino County,395060,10,24,0,26,2
San Diego County,469934,5,18,0,14,3
San Francisco County,115083,4,6,0,5,1
San Joaquin County,130239,5,3,0,4,3
San Luis Obispo County,39909,0,1,0,4,0
San Mateo County,57652,0,2,0,3,0
Santa Barbara County,70507,0,7,0,2,0
Santa Clara County,193250,4,13,0,7,2
Santa Cruz County,39683,0,0,0,2,1
Shasta County,31466,0,1,1,14,2
Siskiyou County,9162,0,0,0,4,0
Solano County,56047,4,4,0,2,0
Sonoma County,59535,0,2,0,1,0
Stanislaus County,107995,2,8,0,6,1
Sutter County,16006,0,1,0,0,1
Tehama County,12424,0,3,1,3,0
Trinity County,2529,0,0,0,1,0
Tulare County,120048,1,9,0,4,0
Tuolumne County,7805,0,0,0,0,0
Ventura County,93926,1,3,0,2,0
Yolo County,39650,1,0,0,1,0
Yuba County,15977,2,0,0,2,0
