County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Anderson County,11698,0,0,0,2,0
Angelina County,16936,1,0,0,0,0
Atascosa County,7835,0,1,0,2,0
Austin County,2941,0,0,0,1,0
Bell County,50358,4,0,0,2,0
Bexar County,326632,6,34,0,11,0
Bowie County,18375,0,0,0,1,0
Brazoria County,37870,1,1,0,8,0
Brazos County,62327,0,0,0,1,0
Brewster County,1137,0,1,0,0,0
Burnet County,7326,0,0,0,1,0
Caldwell County,7444,0,1,0,0,0
Cameron County,146296,0,6,0,0,0
Carson County,433,0,0,0,0,1
Cass County,6325,0,0,0,1,0
Chambers County,3700,0,0,0,1,0
Cherokee County,12471,0,0,0,1,0
Childress County,1127,0,1,0,0,0
Cochran County,443,0,1,0,0,0
Collin County,69049,1,1,0,3,0
Cooke County,5737,0,0,0,1,0
Dallam County,1291,0,0,0,1,0
Dallas County,481060,13,8,0,14,1
Deaf Smith County,3628,0,1,0,0,0
Denton County,65543,4,1,0,4,0
Eastland County,3453,0,1,0,0,0
Ector County,24471,0,4,0,6,0
El Paso County,194202,2,8,0,5,0
Ellis County,18959,1,1,0,1,0
Foard County,196,0,0,0,1,0
Fort Bend County,57569,3,0,0,2,0
Freestone County,3083,0,1,0,0,0
Frio County,4447,0,1,0,0,0
Gaines County,3263,0,0,0,1,0
Galveston County,41788,1,2,0,7,0
Gonzales County,4481,1,0,0,0,0
Grayson County,19395,1,0,0,2,0
Gregg County,21684,2,0,0,4,0
Guadalupe County,14283,0,1,0,3,0
Hale County,7743,0,1,0,0,0
Hardeman County,1045,0,0,0,1,0
Hardin County,6063,0,0,0,2,0
Harris County,821653,31,23,0,14,2
Harrison County,10774,1,0,0,0,0
Hays County,31454,0,0,0,3,0
Henderson County,14986,0,0,0,0,0
Hidalgo County,289213,0,8,0,1,0
Hockley County,3702,0,1,0,0,0
Hopkins County,6933,0,0,0,1,0
Hudspeth County,1416,1,0,0,0,0
Hunt County,17610,1,0,0,0,0
Hutchinson County,3440,0,1,0,0,0
Jefferson County,52969,3,0,0,4,0
Jim Wells County,8974,0,0,0,1,0
Kaufman County,14794,0,0,0,1,0
Kendall County,3616,1,1,0,1,0
Kerr County,7534,0,0,0,3,0
Knox County,802,0,0,0,1,0
Lamar County,9459,0,1,0,3,0
Lamb County,3000,0,1,0,0,0
Lee County,2076,1,0,0,0,0
Leon County,2984,0,0,0,1,0
Llano County,2751,0,0,0,2,0
Lubbock County,59971,1,2,0,0,0
Lynn County,1166,0,1,0,0,0
Matagorda County,7706,1,0,0,0,0
McLennan County,53557,2,0,0,3,0
Midland County,16206,0,1,1,3,0
Montague County,3029,0,0,0,2,0
Montgomery County,64349,1,0,0,5,0
Moore County,3411,0,0,0,1,0
Nacogdoches County,16782,0,0,0,2,0
Nolan County,2792,0,0,0,2,0
Nueces County,65545,1,6,0,1,0
Panola County,3019,1,0,0,0,0
Parker County,13425,1,0,0,4,0
Pecos County,2654,0,1,0,0,0
Polk County,9308,0,0,0,1,0
Potter County,28096,0,5,0,3,0
Real County,681,0,0,0,1,0
Red River County,2004,1,0,0,0,0
Refugio County,1183,1,0,0,0,0
Rockwall County,5181,0,1,0,0,0
Runnels County,2281,0,0,0,0,0
Rusk County,9598,0,0,0,0,0
San Patricio County,11376,0,1,0,0,0
Scurry County,2720,0,0,0,2,0
Shelby County,5639,0,0,0,1,0
Sherman County,423,1,0,0,0,0
Smith County,36547,0,1,0,0,0
Starr County,24678,1,1,0,0,0
Tarrant County,295695,12,9,0,13,1
Taylor County,23515,1,0,0,2,0
Tom Green County,18890,0,3,0,2,0
Travis County,200299,4,9,0,14,1
Trinity County,2290,0,0,0,1,0
Upshur County,6376,0,0,0,1,0
Val Verde County,10823,0,1,0,0,0
Victoria County,15393,0,0,0,1,0
Walker County,18145,0,0,0,0,0
Waller County,9551,1,0,0,1,0
Ward County,2372,1,0,0,0,0
Webb County,83735,0,5,0,1,0
Wichita County,20647,1,1,0,0,0
Wilbarger County,2685,0,0,0,0,0
Williamson County,34248,0,0,0,2,0
Wilson County,5336,0,0,0,1,0
Winkler County,1001,0,1,0,0,0
Wood County,6256,0,0,0,1,0
