County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Acadia Parish County,16684,2,0,0,0,0
Ada County,106985,0,3,0,10,0
Adair County,5946,0,0,0,2,0
Adams County,133159,7,9,0,18,1
Adams County,656,0,0,0,1,0
Adams County,15072,0,0,0,1,0
Adams County,6892,0,0,0,1,0
Adams County,20953,0,0,0,1,0
Adams County,6770,0,0,0,0,0
Aiken County,36410,1,0,0,4,0
Aitkin County,2760,0,0,0,1,0
Alachua County,46405,2,0,0,1,0
Alamance County,35676,1,1,0,1,0
Alameda County,344737,12,7,0,8,2
Alamosa County,3866,0,1,0,1,0
Albany County,58244,0,0,0,2,0
Albany County,6239,0,1,0,1,0
Alexandria County,26802,0,0,0,2,0
Allegany County,12840,0,0,0,1,0
Alleghany County,1969,0,0,0,1,0
Allegheny County,233938,10,0,0,0,0
Allen County,96236,0,1,0,3,0
Allen County,4872,0,0,0,1,0
Allen County,24474,0,0,0,1,0
Anderson County,5231,0,0,0,1,0
Anderson County,44925,0,1,0,5,0
Anderson County,15861,1,0,0,3,0
Anderson County,11064,0,0,0,2,0
Androscoggin County,23637,0,0,0,3,0
Angelina County,22903,1,0,0,0,0
Anne Arundel County,126590,1,0,0,4,0
Anoka County,83415,1,0,2,1,0
Anson County,5256,0,0,0,4,0
Apache County,21046,0,0,2,2,0
Arapahoe County,151611,1,1,0,7,0
Arlington County,39028,0,1,0,1,0
Aroostook County,12987,0,0,0,1,0
Ashe County,5045,0,0,0,2,0
Ashland County,3639,0,0,1,1,0
Ashtabula County,22414,0,0,0,1,0
Atascosa County,13329,0,1,0,2,0
Athens County,10095,0,0,0,1,0
Atkinson County,2311,0,0,0,1,0
Atlantic County,60821,4,0,0,1,0
Aurora County,722,0,0,0,1,0
Austin County,7046,0,0,0,1,0
Avoyelles Parish County,9793,0,0,0,1,0
Baca County,776,0,0,0,0,0
Baker County,6719,0,0,0,1,0
Baldwin County,44425,1,0,0,3,0
Baltimore County,310648,30,0,0,7,0
Bannock County,22337,0,0,0,1,0
Barber County,1102,0,0,0,1,0
Barbour County,5700,1,0,0,0,0
Barren County,10226,1,0,0,0,0
Barrow County,20068,0,0,0,0,0
Barry County,8202,0,0,0,1,0
Barton County,3014,0,0,0,1,0
Bartow County,25637,0,0,0,3,0
Bates County,3997,1,0,0,0,0
Bath County,3088,0,0,0,2,0
Bay County,38661,3,0,0,4,0
Bay County,22298,0,0,0,1,0
Beaufort County,10088,1,0,0,0,0
Beaufort County,34995,0,0,0,1,0
Beauregard Parish County,9013,1,0,0,1,0
Beaverhead County,1682,0,0,0,1,0
Bedford County,12216,0,0,0,1,0
Belknap County,11759,0,0,0,2,0
Bell County,6000,0,0,0,0,0
Bell County,91172,4,0,0,2,0
Belmont County,13267,0,0,0,1,0
Beltrami County,11599,0,0,1,0,0
Benson County,2337,0,0,1,0,0
Benton County,65427,1,0,0,3,0
Benton County,14587,0,0,0,1,0
Benton County,49792,1,0,0,4,0
Bergen County,202585,1,2,0,0,0
Berkeley County,48362,0,0,0,3,0
Berkeley County,26740,1,0,0,0,0
Berks County,94735,0,1,0,2,0
Berkshire County,23040,0,0,0,1,0
Bernalillo County,154701,0,29,0,9,0
Berrien County,34927,1,0,0,1,0
Bexar County,486237,6,34,0,11,0
Bibb County,38784,2,0,0,1,0
Big Horn County,4449,0,0,1,0,0
Bingham County,14350,0,0,1,1,0
Bladen County,7486,1,0,0,1,0
Bleckley County,2751,0,0,0,1,0
Blount County,26658,0,0,0,1,0
Blue Earth County,12881,0,0,0,2,0
Bonner County,8442,0,0,0,3,0
Bonneville County,33999,1,0,0,4,1
Boone County,6000,0,0,0,2,0
Boone County,34511,0,0,0,1,0
Boone County,35407,2,0,0,1,0
Bossier Parish County,31641,1,0,0,4,0
Botetourt County,6653,0,0,0,1,0
Boulder County,63607,0,1,0,4,1
Bourbon County,4534,0,0,0,1,0
Bowie County,22199,0,0,0,1,0
Bradford County,5394,1,0,0,1,0
Bradley County,2609,1,0,0,0,0
Bradley County,23066,0,0,0,1,0
Braxton County,2950,0,0,0,2,0
Brazoria County,90617,1,1,0,8,0
Brazos County,42876,0,0,0,1,0
Brevard County,104137,6,2,0,9,0
Brewster County,1798,0,1,0,0,0
Bristol County,116935,1,1,0,0,0
Bristol County,3437,0,0,0,2,0
Bronx County,366731,3,1,0,0,0
Brooke County,4188,0,0,0,1,0
Broome County,38878,0,0,0,2,0
Broomfield County,15348,0,0,0,1,0
Broward County,401886,16,3,0,5,0
Brown County,62371,0,1,0,2,0
Brunswick County,20440,1,0,0,1,0
Bryan County,10543,0,0,0,1,0
Buchanan County,20492,0,0,0,3,0
Buchanan County,4090,0,0,0,1,0
Buckingham County,3180,1,0,0,0,0
Bullitt County,18008,0,0,0,1,0
Bulloch County,14706,0,0,0,1,0
Buncombe County,48605,1,0,0,1,0
Burke County,17808,0,0,0,1,0
Burleigh County,20544,0,0,0,2,0
Burlington County,97590,0,1,0,0,0
Burnet County,9708,0,0,0,1,0
Butler County,17219,0,0,0,1,0
Butler County,10184,0,0,0,1,0
Butler County,90920,2,0,0,3,0
Butte County,45297,1,1,0,7,0
Butts County,5141,0,0,0,2,0
Cabarrus County,50331,1,0,0,0,0
Cabell County,19519,0,0,0,1,0
Cache County,36805,0,0,0,1,0
Caddo Parish County,61383,8,0,0,4,0
Caddo County,7300,0,0,1,0,0
Calaveras County,7898,0,0,0,1,0
Calcasieu Parish County,49104,2,0,0,1,0
Caldwell County,2838,1,0,0,0,0
Caldwell County,17193,1,0,0,5,0
Caldwell County,9634,0,1,0,0,0
Calhoun County,25733,1,1,0,5,0
Calhoun County,1228,0,0,0,1,0
