County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Apache County,21046,0,0,2,2,0
Cochise County,28548,0,3,0,0,0
Coconino County,30015,0,1,3,7,0
Gila County,10836,0,0,0,1,0
Graham County,10742,0,0,0,1,0
Greenlee County,2626,0,0,0,1,0
La Paz County,3520,0,2,1,1,0
Maricopa County,1025885,19,64,5,66,0
Mohave County,38029,0,2,0,9,0
Navajo County,30268,0,0,2,2,0
Pima County,219989,2,17,0,12,0
Pinal County,98068,1,2,0,6,0
Santa Cruz County,13215,0,2,0,0,0
Yavapai County,38079,0,0,0,7,0
Yuma County,53251,0,2,0,1,0
