County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Alameda County,344737,12,7,0,8,2
Butte County,45297,1,1,0,7,0
Calaveras County,7898,0,0,0,1,0
Contra Costa County,260053,6,5,0,5,1
Del Norte County,5769,0,0,0,0,0
El Dorado County,38265,1,0,0,1,0
Fresno County,279166,1,16,0,9,1
Humboldt County,26288,1,0,0,3,0
Imperial County,51041,0,2,0,0,0
Kern County,257129,5,23,0,9,0
Kings County,41324,1,3,1,1,0
Lake County,13094,0,0,0,4,0
Los Angeles County,2306609,56,123,0,39,12
Madera County,42655,0,2,0,2,0
Marin County,53454,0,1,0,1,0
Mendocino County,19243,0,0,0,1,0
Merced County,79906,0,6,0,1,0
Monterey County,113875,0,3,0,4,0
Napa County,30883,0,3,0,3,0
Nevada County,17603,0,0,0,2,0
Orange County,723468,4,23,0,9,2
Placer County,85118,1,1,0,5,0
Riverside County,612598,6,23,0,14,0
Sacramento County,361614,15,6,1,11,0
San Bernardino County,574632,10,24,0,26,2
San Diego County,727745,5,18,0,14,3
San Francisco County,114231,4,6,0,5,1
San Joaquin County,198936,5,3,0,4,3
San Luis Obispo County,50514,0,1,0,4,0
San Mateo County,163095,0,2,0,3,0
Santa Barbara County,98710,0,7,0,2,0
Santa Clara County,437654,4,13,0,7,2
Santa Cruz County,54633,0,0,0,2,1
Shasta County,38838,0,1,1,14,2
Siskiyou County,8856,0,0,0,4,0
Solano County,98729,4,4,0,2,0
Sonoma County,103060,0,2,0,1,0
Stanislaus County,145235,2,8,0,6,1
Sutter County,25304,0,1,0,0,1
Tehama County,15136,0,3,1,3,0
Trinity County,2226,0,0,0,1,0
Tulare County,144791,1,9,0,4,0
Tuolumne County,9044,0,0,0,0,0
Ventura County,204775,1,3,0,2,0
Yolo County,45047,1,0,0,1,0
Yuba County,20563,2,0,0,2,0
