County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Anderson County,11064,0,0,0,2,0
Angelina County,22903,1,0,0,0,0
Atascosa County,13329,0,1,0,2,0
Austin County,7046,0,0,0,1,0
Bell County,91172,4,0,0,2,0
Bexar County,486237,6,34,0,11,0
Bowie County,22199,0,0,0,1,0
Brazoria County,90617,1,1,0,8,0
Brazos County,42876,0,0,0,1,0
Brewster County,1798,0,1,0,0,0
Burnet County,9708,0,0,0,1,0
Caldwell County,9634,0,1,0,0,0
Cameron County,132844,0,6,0,0,0
Carson County,1515,0,0,0,0,1
Cass County,6809,0,0,0,1,0
Chambers County,10566,0,0,0,1,0
Cherokee County,13031,0,0,0,1,0
Childress County,1482,0,1,0,0,0
Cochran County,831,0,1,0,0,0
Collin County,240786,1,1,0,3,0
Cooke County,9380,0,0,0,1,0
Dallam County,2283,0,0,0,1,0
Dallas County,677514,13,8,0,14,1
Deaf Smith County,6123,0,1,0,0,0
Denton County,196628,4,1,0,4,0
Eastland County,3890,0,1,0,0,0
Ector County,45863,0,4,0,6,0
El Paso County,235877,2,8,0,5,0
Ellis County,43016,1,1,0,1,0
Foard County,273,0,0,0,1,0
Fort Bend County,191211,3,0,0,2,0
Freestone County,4565,0,1,0,0,0
Frio County,4522,0,1,0,0,0
Gaines County,6818,0,0,0,1,0
Galveston County,77607,1,2,0,7,0
Gonzales County,5422,1,0,0,0,0
Grayson County,29401,1,0,0,2,0
Gregg County,31787,2,0,0,4,0
Guadalupe County,38580,0,1,0,3,0
Hale County,9617,0,1,0,0,0
Hardeman County,927,0,0,0,1,0
Hardin County,13794,0,0,0,2,0
Harris County,1203611,31,23,0,14,2
Harrison County,16767,1,0,0,0,0
Hays County,43666,0,0,0,3,0
Henderson County,17444,0,0,0,0,0
Hidalgo County,279241,0,8,0,1,0
Hockley County,6342,0,1,0,0,0
Hopkins County,9052,0,0,0,1,0
Hudspeth County,787,1,0,0,0,0
Hunt County,21150,1,0,0,0,0
Hutchinson County,5748,0,1,0,0,0
Jefferson County,59780,3,0,0,4,0
Jim Wells County,11662,0,0,0,1,0
Kaufman County,30701,0,0,0,1,0
Kendall County,9098,1,1,0,1,0
Kerr County,9809,0,0,0,3,0
Knox County,1007,0,0,0,1,0
Lamar County,11737,0,1,0,3,0
Lamb County,3841,0,1,0,0,0
Lee County,3784,1,0,0,0,0
Leon County,3760,0,0,0,1,0
Llano County,3024,0,0,0,2,0
Lubbock County,71142,1,2,0,0,0
Lynn County,1575,0,1,0,0,0
Matagorda County,9312,1,0,0,0,0
McLennan County,60373,2,0,0,3,0
Midland County,43009,0,1,1,3,0
Montague County,4466,0,0,0,2,0
Montgomery County,139078,1,0,0,5,0
Moore County,6932,0,0,0,1,0
Nacogdoches County,15346,0,0,0,2,0
Nolan County,3894,0,0,0,2,0
Nueces County,90124,1,6,0,1,0
Panola County,5752,1,0,0,0,0
Parker County,30052,1,0,0,4,0
Pecos County,3894,0,1,0,0,0
Polk County,9446,0,0,0,1,0
Potter County,33569,0,5,0,3,0
Real County,583,0,0,0,1,0
Red River County,2514,1,0,0,0,0
Refugio County,1687,1,0,0,0,0
Rockwall County,24323,0,1,0,0,0
Runnels County,2500,0,0,0,0,0
Rusk County,12510,0,0,0,0,0
San Patricio County,18268,0,1,0,0,0
Scurry County,4419,0,0,0,2,0
Shelby County,6736,0,0,0,1,0
Sherman County,857,1,0,0,0,0
Smith County,54492,0,1,0,0,0
Starr County,20775,1,1,0,0,0
Tarrant County,527193,12,9,0,13,1
Taylor County,33245,1,0,0,2,0
Tom Green County,27519,0,3,0,2,0
Travis County,264763,4,9,0,14,1
Trinity County,2788,0,0,0,1,0
Upshur County,9685,0,0,0,1,0
Val Verde County,14153,0,1,0,0,0
Victoria County,23499,0,0,0,1,0
Walker County,10887,0,0,0,0,0
Waller County,11237,1,0,0,1,0
Ward County,3255,1,0,0,0,0
Webb County,90669,0,5,0,1,0
Wichita County,30177,1,1,0,0,0
Wilbarger County,3062,0,0,0,0,0
Williamson County,132587,0,0,0,2,0
Wilson County,11508,0,0,0,1,0
Winkler County,2378,0,1,0,0,0
Wood County,8442,0,0,0,1,0
