County,NumWereFleeing,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Alameda County,14,12,7,0,8,2
Butte County,5,1,1,0,7,0
Calaveras County,0,0,0,0,1,0
Contra Costa County,7,6,5,0,5,1
Del Norte County,0,0,0,0,0,0
El Dorado County,2,1,0,0,1,0
Fresno County,7,1,16,0,9,1
Humboldt County,1,1,0,0,3,0
Imperial County,2,0,2,0,0,0
Kern County,19,5,23,0,9,0
Kings County,2,1,3,1,1,0
Lake County,1,0,0,0,4,0
Los Angeles County,80,56,123,0,39,12
Madera County,2,0,2,0,2,0
Marin County,0,0,1,0,1,0
Mendocino County,1,0,0,0,1,0
Merced County,2,0,6,0,1,0
Monterey County,0,0,3,0,4,0
Napa County,4,0,3,0,3,0
Nevada County,0,0,0,0,2,0
Orange County,12,4,23,0,9,2
Placer County,4,1,1,0,5,0
Riverside County,18,6,23,0,14,0
Sacramento County,13,15,6,1,11,0
San Bernardino County,30,10,24,0,26,2
San Diego County,15,5,18,0,14,3
San Francisco County,3,4,6,0,5,1
San Joaquin County,7,5,3,0,4,3
San Luis Obispo County,2,0,1,0,4,0
San Mateo County,1,0,2,0,3,0
Santa Barbara County,4,0,7,0,2,0
Santa Clara County,7,4,13,0,7,2
Santa Cruz County,1,0,0,0,2,1
Shasta County,6,0,1,1,14,2
Siskiyou County,2,0,0,0,4,0
Solano County,4,4,4,0,2,0
Sonoma County,1,0,2,0,1,0
Stanislaus County,6,2,8,0,6,1
Sutter County,1,0,1,0,0,1
Tehama County,2,0,3,1,3,0
Trinity County,0,0,0,0,1,0
Tulare County,3,1,9,0,4,0
Tuolumne County,0,0,0,0,0,0
Ventura County,2,1,3,0,2,0
Yolo County,0,1,0,0,1,0
Yuba County,1,2,0,0,2,0
