State,County,HispanicPerc
TX,Starr County,95.8
TX,Webb County,95.2
TX,Maverick County,95.1
TX,Zapata County,93.9
TX,Zavala County,93
TX,Jim Hogg County,91.6
TX,Hidalgo County,91.2
TX,Brooks County,89.6
TX,Cameron County,88.7
TX,Duval County,88.5
TX,Willacy County,87.7
TX,Dimmit County,85.9
TX,La Salle County,84.4
AZ,Santa Cruz County,82.8
TX,Presidio County,82.7
CA,Imperial County,82.3
TX,El Paso County,81.2
NM,Mora County,80.6
TX,Val Verde County,80.4
TX,Jim Wells County,79.7
NM,Guadalupe County,79.4
TX,Hudspeth County,78.2
TX,Frio County,77.8
NM,San Miguel County,77.2
TX,Reeves County,74.4
TX,Kenedy County,74
TX,Culberson County,73.5
TX,Kleberg County,71.7
NM,Rio Arriba County,71.6
TX,Deaf Smith County,70.6
TX,Uvalde County,70.2
TX,Pecos County,67.6
NM,Doña Ana County,66.8
FL,Miami-Dade County,66.2
TX,Reagan County,65.9
NM,Luna County,64.9
CO,Costilla County,64.3
TX,Crockett County,64
TX,Yoakum County,63.1
CA,Tulare County,62.9
TX,Castro County,62.7
TX,Atascosa County,62.6
TX,Nueces County,62.4
TX,Parmer County,62.1
WA,Adams County,62
TX,Crane County,61.9
AZ,Yuma County,61.7
TX,Bailey County,61.1
TX,Sutton County,60.8
NM,Valencia County,59.5
TX,Bexar County,59.3
KS,Seward County,59.1
CA,San Benito County,58.3
TX,Hale County,58.2
TX,Winkler County,58.2
CA,Colusa County,58.1
TX,Bee County,57.8
CA,Merced County,57.5
TX,Ector County,57.5
CA,Monterey County,57.4
NM,Hidalgo County,57.2
TX,Cochran County,57
TX,Kinney County,56.5
TX,Concho County,56.3
TX,Floyd County,56.2
NM,Taos County,56.1
CA,Madera County,56.1
TX,San Patricio County,56
NM,Lea County,55.7
TX,Dawson County,55.5
NM,Chaves County,54.9
NY,Bronx County,54.8
TX,Andrews County,54.6
TX,Edwards County,54.4
CO,Conejos County,54.1
TX,Lamb County,54
TX,Crosby County,54
CA,Kings County,53.2
TX,Terry County,53.2
KS,Ford County,52.9
TX,Upton County,52.8
TX,Moore County,52.8
TX,Karnes County,52.5
TX,Schleicher County,52.2
WA,Franklin County,51.9
CA,Fresno County,51.9
CA,San Bernardino County,51.7
CA,Kern County,51.5
TX,Ochiltree County,51.5
TX,Ward County,51.5
NM,Santa Fe County,51.3
FL,Hendry County,50.9
TX,Medina County,50.9
TX,Garza County,50
TX,Refugio County,49.8
TX,Caldwell County,49.8
FL,Osceola County,49.7
NM,Grant County,49.6
TX,Gonzales County,49.4
NM,Socorro County,49.3
NM,Colfax County,49
NM,Bernalillo County,49
TX,Terrell County,48.9
CA,Los Angeles County,48.4
KS,Finney County,48.2
TX,Calhoun County,47.9
TX,Lynn County,47.7
WA,Yakima County,47.7
CA,Riverside County,47.4
TX,Hockley County,46.7
AZ,Greenlee County,46.6
NM,Eddy County,46.4
KS,Grant County,46.4
OK,Texas County,45.9
TX,Martin County,45.6
CO,Alamosa County,45.5
TX,Hansford County,45.4
TX,Victoria County,45.3
NM,Quay County,44.7
CA,Santa Barbara County,44.4
CO,Rio Grande County,44.2
CA,Stanislaus County,44.1
NE,Colfax County,43.1
TX,Brewster County,43.1
NJ,Hudson County,43.1
FL,Hardee County,43.1
NM,Harding County,43
TX,Dallam County,42.9
ID,Clark County,42.6
