State,County,WhitePerc
NE,Loup County,99.3
NE,Garfield County,99
IL,Calhoun County,98.8
NE,Blaine County,98.8
TX,Starr County,98.8
NE,Wheeler County,98.8
WV,Tyler County,98.7
KY,Jackson County,98.7
TN,Pickett County,98.7
MT,Garfield County,98.7
TX,Zapata County,98.7
OH,Holmes County,98.7
VA,Dickenson County,98.7
WV,Lincoln County,98.7
KY,Estill County,98.6
NE,Chase County,98.6
KY,Lewis County,98.6
KY,Magoffin County,98.6
NE,Cedar County,98.6
KY,Wolfe County,98.5
NE,Thomas County,98.5
NE,Grant County,98.5
IA,Lucas County,98.5
NE,Sherman County,98.5
MO,Schuyler County,98.5
MO,Scotland County,98.5
WV,Boone County,98.5
KY,Leslie County,98.5
NE,Hayes County,98.5
NE,Antelope County,98.5
MI,Keweenaw County,98.5
MO,Osage County,98.5
KY,Letcher County,98.5
NE,Valley County,98.5
MT,Petroleum County,98.4
WV,Ritchie County,98.4
IL,Shelby County,98.4
NE,Frontier County,98.4
KY,Owsley County,98.4
ND,LaMoure County,98.4
SD,Hanson County,98.4
VA,Craig County,98.4
IA,Delaware County,98.4
IL,Jasper County,98.4
NE,Pierce County,98.4
ND,Griggs County,98.4
NE,Harlan County,98.4
PA,Elk County,98.3
WV,Clay County,98.3
IA,Keokuk County,98.3
NE,Boone County,98.3
IA,Davis County,98.3
KY,Lawrence County,98.3
NE,Keya Paha County,98.3
NE,Perkins County,98.3
IA,Grundy County,98.3
IA,Chickasaw County,98.3
SD,Hand County,98.3
IN,Warren County,98.3
SD,Faulk County,98.3
IA,Lyon County,98.3
IA,Mitchell County,98.3
MN,Lincoln County,98.3
KY,Rockcastle County,98.3
KY,Robertson County,98.3
IL,Edgar County,98.2
NE,McPherson County,98.2
IA,Taylor County,98.2
MN,Fillmore County,98.2
TN,Scott County,98.2
WV,Calhoun County,98.2
IN,Adams County,98.2
VA,Highland County,98.2
IN,Martin County,98.2
NE,Nance County,98.2
IN,LaGrange County,98.2
WV,Tucker County,98.2
IA,Adair County,98.2
IA,Sac County,98.2
IA,Audubon County,98.2
IL,Moultrie County,98.2
KY,Nicholas County,98.2
SD,McPherson County,98.2
NE,Brown County,98.1
ND,Emmons County,98.1
MT,Liberty County,98.1
NE,Greeley County,98.1
NE,Rock County,98.1
IA,Butler County,98.1
IA,Van Buren County,98.1
IN,Vermillion County,98.1
IN,Jay County,98.1
IA,Ringgold County,98.1
IN,Pike County,98.1
WI,Pepin County,98.1
IL,Clark County,98.1
NE,Polk County,98.1
NE,Hamilton County,98.1
KY,Marshall County,98.1
IL,Scott County,98.1
MO,Putnam County,98.1
WI,Taylor County,98.1
OH,Putnam County,98.1
IN,Washington County,98.1
NE,Nuckolls County,98.1
NE,Franklin County,98.1
KY,Knott County,98.1
IN,Franklin County,98.1
IN,Ohio County,98.1
IL,Mercer County,98.1
WV,Wetzel County,98.1
TN,Fentress County,98
NE,Holt County,98
