State,NumBlackArmed,NumNativeArmed,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
state,126,4,151,365,4,255,34
state,90,1,114,166,1,199,6
state,106,0,132,59,0,186,1
state,16,11,22,98,13,117,0
state,18,4,19,56,5,110,5
state,70,0,86,12,0,91,3
state,31,8,36,10,10,114,3
state,63,0,68,2,0,94,2
state,53,0,56,8,0,102,1
state,807545910,740438580,25,24,7,80,9
state,30,0,35,4,0,106,1
state,53,0,55,3,0,78,1
state,58,0,69,2,0,46,2
state,38,0,46,9,0,54,1
state,59,0,67,16,0,33,0
state,1,1,2,75,2,28,0
state,29,0,33,5,0,74,0
state,29,0,33,2,0,71,0
state,47,0,52,11,0,41,1
state,15,1,16,3,1,82,1
state,37,1,45,5,1,51,1
state,15,1,17,31,1,46,3
state,19,3,23,6,4,63,2
state,807545896,740438574,7,8,0,73,0
state,28,0,30,2,0,54,1
state,24,0,28,2,0,60,1
state,44,0,54,4,0,30,1
state,22,0,26,0,0,54,1
state,22,0,26,1,0,42,1
state,7,2,7,13,2,48,1
state,26,0,34,8,0,22,1
state,9,5,13,3,5,45,3
state,8,0,8,0,0,41,1
state,6,1,7,9,1,38,0
state,0,1,1,6,1,36,1
state,3,9,3,0,9,27,2
state,8,0,8,8,0,21,0
state,0,5,0,0,5,32,0
state,7,0,8,0,0,29,0
state,1,0,1,1,0,3,12
state,6,1,6,3,1,18,0
state,1,0,1,1,0,20,0
state,4,0,5,7,0,11,0
state,0,2,0,0,4,11,1
state,0,0,0,0,0,15,0
state,5,0,6,1,0,6,0
state,13,0,14,0,0,2,0
state,0,2,0,2,2,10,0
state,0,4,0,0,7,6,0
state,0,0,0,0,1,8,0
state,2,0,2,1,0,1,0
