State,NumArmedShootings,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
state,858,151,365,4,255,34
state,520,114,166,1,199,6
state,396,132,59,0,186,1
state,270,22,98,13,117,0
state,208,19,56,5,110,5
state,199,86,12,0,91,3
state,174,36,10,10,114,3
state,169,68,2,0,94,2
state,172,56,8,0,102,1
state,164,25,24,7,80,9
state,152,35,4,0,106,1
state,146,55,3,0,78,1
state,113,69,2,0,46,2
state,118,46,9,0,54,1
state,114,67,16,0,33,0
state,111,2,75,2,28,0
state,111,33,5,0,74,0
state,103,33,2,0,71,0
state,111,52,11,0,41,1
state,100,16,3,1,82,1
state,105,45,5,1,51,1
state,97,17,31,1,46,3
state,100,23,6,4,63,2
state,94,7,8,0,73,0
state,93,30,2,0,54,1
state,88,28,2,0,60,1
state,84,54,4,0,30,1
state,85,26,0,0,54,1
state,69,26,1,0,42,1
state,73,7,13,2,48,1
state,66,34,8,0,22,1
state,70,13,3,5,45,3
state,54,8,0,0,41,1
state,51,7,9,1,38,0
state,47,1,6,1,36,1
state,44,3,0,9,27,2
state,37,8,8,0,21,0
state,35,0,0,5,32,0
state,34,8,0,0,29,0
state,27,1,1,0,3,12
state,27,6,3,1,18,0
state,24,1,1,0,20,0
state,22,5,7,0,11,0
state,17,0,0,4,11,1
state,16,0,0,0,15,0
state,13,6,1,0,6,0
state,16,14,0,0,2,0
state,13,0,2,2,10,0
state,9,0,0,7,6,0
state,9,0,0,1,8,0
state,3,2,1,0,1,0
