City,State short,State full,County,City alias
Holtsville,NY,New York,Suffolk,Internal Revenue Service
Holtsville,NY,New York,Suffolk,Holtsville
Adjuntas,PR,Puerto Rico,Adjuntas,URB San Joaquin
Adjuntas,PR,Puerto Rico,Adjuntas,Jard De Adjuntas
Adjuntas,PR,Puerto Rico,Adjuntas,Colinas Del Gigante
Adjuntas,PR,Puerto Rico,Adjuntas,Adjuntas
Aguada,PR,Puerto Rico,Aguada,Comunidad Las Flores
Aguada,PR,Puerto Rico,Aguada,URB Isabel La Catolica
Aguada,PR,Puerto Rico,Aguada,Alts De Aguada
Aguada,PR,Puerto Rico,Aguada,Bo Guaniquilla
Aguada,PR,Puerto Rico,Aguada,Aguada
Aguada,PR,Puerto Rico,Aguada,Ext Los Robles
Aguadilla,PR,Puerto Rico,Aguadilla,Ramey
Aguadilla,PR,Puerto Rico,Aguadilla,Aguadilla
Aguadilla,PR,Puerto Rico,Aguadilla,Repto Lopez
Aguadilla,PR,Puerto Rico,Aguadilla,URB Maleza Gdns
Aguadilla,PR,Puerto Rico,Aguadilla,URB Victoria
Aguadilla,PR,Puerto Rico,Aguadilla,Repto Tres Palmas
Aguadilla,PR,Puerto Rico,Aguadilla,Sect Las Villas
Aguadilla,PR,Puerto Rico,Aguadilla,URB Garcia
Aguadilla,PR,Puerto Rico,Aguadilla,Villa Linda
Aguadilla,PR,Puerto Rico,Aguadilla,Villa Universitaria
Aguadilla,PR,Puerto Rico,Aguadilla,Bo Ceiba Baja
Aguadilla,PR,Puerto Rico,Aguadilla,URB Borinquen
Aguadilla,PR,Puerto Rico,Aguadilla,Villa Alegria
Aguadilla,PR,Puerto Rico,Aguadilla,Vista Alegre
Aguadilla,PR,Puerto Rico,Aguadilla,URB San Carlos
Aguadilla,PR,Puerto Rico,Aguadilla,Bda Caban
Aguadilla,PR,Puerto Rico,Aguadilla,Ext El Prado
Aguadilla,PR,Puerto Rico,Aguadilla,URB Esteves
Aguadilla,PR,Puerto Rico,Aguadilla,URB Ramey
Aguadilla,PR,Puerto Rico,Aguadilla,Villas De Almeria
Aguadilla,PR,Puerto Rico,Aguadilla,Bda Esteves
Aguadilla,PR,Puerto Rico,Aguadilla,URB Las Americas
Aguadilla,PR,Puerto Rico,Aguadilla,URB Las Casitas Country Club
Aguadilla,PR,Puerto Rico,Aguadilla,URB Santa Marta
Aguadilla,PR,Puerto Rico,Aguadilla,Ext Marbella
Aguadilla,PR,Puerto Rico,Aguadilla,Repto Juan Aguiar
Aguadilla,PR,Puerto Rico,Aguadilla,Villa Lydia
Aguadilla,PR,Puerto Rico,Aguadilla,Bo Borinquen
Aguadilla,PR,Puerto Rico,Aguadilla,Repto Jimenez
Aguadilla,PR,Puerto Rico,Aguadilla,URB El Prado
Aguadilla,PR,Puerto Rico,Aguadilla,URB Marbella
Aguadilla,PR,Puerto Rico,Aguadilla,URB Rubianes
Aguadilla,PR,Puerto Rico,Aguadilla,Vista Verde
Maricao,PR,Puerto Rico,Maricao,Maricao
Maricao,PR,Puerto Rico,Maricao,URB San Juan Bautista
Anasco,PR,Puerto Rico,Anasco,Anasco
Anasco,PR,Puerto Rico,Anasco,Jard De Anasco
Anasco,PR,Puerto Rico,Anasco,Repto Daguey
Anasco,PR,Puerto Rico,Anasco,URB San Antonio
Anasco,PR,Puerto Rico,Anasco,Brisas De Anasco
Anasco,PR,Puerto Rico,Anasco,Paseo Del Valle
Anasco,PR,Puerto Rico,Anasco,Est De Valle Verde
Angeles,PR,Puerto Rico,Utuado,Angeles
Arecibo,PR,Puerto Rico,Arecibo,Comunidad Buenos Aires
Arecibo,PR,Puerto Rico,Arecibo,Ext Tanama
Arecibo,PR,Puerto Rico,Arecibo,Jard De San Rafael
Arecibo,PR,Puerto Rico,Arecibo,URB College Park Iv
Arecibo,PR,Puerto Rico,Arecibo,URB Los Pinos
Arecibo,PR,Puerto Rico,Arecibo,Villa Lucia
Arecibo,PR,Puerto Rico,Arecibo,Vista Del Atlantico
Arecibo,PR,Puerto Rico,Arecibo,Bo El Pasaje
Arecibo,PR,Puerto Rico,Arecibo,Hacienda Toledo
Arecibo,PR,Puerto Rico,Arecibo,Jard De Arecibo
Arecibo,PR,Puerto Rico,Arecibo,Parc Mattey
Arecibo,PR,Puerto Rico,Arecibo,Parq De Jardines
Arecibo,PR,Puerto Rico,Arecibo,URB Arecibo Gdns
Arecibo,PR,Puerto Rico,Arecibo,URB Costas Del Atlantico
Arecibo,PR,Puerto Rico,Arecibo,URB Los Llanos
Arecibo,PR,Puerto Rico,Arecibo,URB Martell
Arecibo,PR,Puerto Rico,Arecibo,URB Regional
Arecibo,PR,Puerto Rico,Arecibo,Villa Serena
Arecibo,PR,Puerto Rico,Arecibo,Vista Azul
Arecibo,PR,Puerto Rico,Arecibo,Bda Duhamel
Arecibo,PR,Puerto Rico,Arecibo,Ext Villa Los Santos I
Arecibo,PR,Puerto Rico,Arecibo,Parc Navas
Arecibo,PR,Puerto Rico,Arecibo,Paseos Reales
Arecibo,PR,Puerto Rico,Arecibo,URB San Daniel
Arecibo,PR,Puerto Rico,Arecibo,Villa Los Santos
Arecibo,PR,Puerto Rico,Arecibo,Villas Del Capitan
Arecibo,PR,Puerto Rico,Arecibo,Villas Del Sol
Arecibo,PR,Puerto Rico,Arecibo,URB Factor
Arecibo,PR,Puerto Rico,Arecibo,URB Garcia
Arecibo,PR,Puerto Rico,Arecibo,URB La Mucura
Arecibo,PR,Puerto Rico,Arecibo,URB Marisol
Arecibo,PR,Puerto Rico,Arecibo,URB Ocean Vw
Arecibo,PR,Puerto Rico,Arecibo,Parc Perez
Arecibo,PR,Puerto Rico,Arecibo,Repto Marquez
Arecibo,PR,Puerto Rico,Arecibo,Sect Las Animas
Arecibo,PR,Puerto Rico,Arecibo,URB El Paraiso
Arecibo,PR,Puerto Rico,Arecibo,URB Garden View
Arecibo,PR,Puerto Rico,Arecibo,URB Los Pinos Ii
Arecibo,PR,Puerto Rico,Arecibo,URB Victor Rojas 2
Arecibo,PR,Puerto Rico,Arecibo,URB Villamar
Arecibo,PR,Puerto Rico,Arecibo,Villa Toledo
